2	0.02857142857142857 0.018404907975460124
2 1 66	0.001813236627379873 0.006134969325153374
2 12 105	0.0006406149903907751 0.006134969325153374
2 12 126 4	0.07 0.012269938650306749
2 12 126 55	0.15789473684210525 0.012269938650306749
2 16 81	0.0009478672985781991 0.006134969325153374
2 20 15 100	5.8585740230827815e-05 0.006134969325153374
2 20 18 85	3.911270045258982e-05 0.018404907975460124
2 20 85	0.000704083685375176 0.012269938650306749
2 20 85 23	0.008298755186721992 0.006134969325153374
2 20 86 4	0.048582995951417005 0.012269938650306749
2 20 86 55	0.391304347826087 0.024539877300613498
2 20 95 81	0.01466275659824047 0.006134969325153374
2 20 95 105	0.001226993865030675 0.006134969325153374
2 20 126 55	0.7142857142857143 0.006134969325153374
2 23	0.07142857142857142 0.006134969325153374
2 23 23	0.08333333333333333 0.006134969325153374
2 23 23 88	0.05555555555555555 0.006134969325153374
2 23 35 100	0.0001296512381693245 0.006134969325153374
2 23 46 111	0.00016117688430430195 0.024539877300613498
2 23 67 2	0.00851063829787234 0.006134969325153374
2 23 88	0.0625 0.006134969325153374
2 23 88 23	0.045454545454545456 0.006134969325153374
2 23 88 88	0.05555555555555555 0.006134969325153374
2 23 120 2	0.5 0.006134969325153374
2 35 100	4.6821959499005034e-05 0.006134969325153374
2 35 100 23	0.001182033096926714 0.006134969325153374
2 36 101	0.0002639218791237794 0.006134969325153374
2 40 30 85	0.00030039050765995795 0.006134969325153374
2 40 99 85	3.955852684046046e-05 0.006134969325153374
2 40 105	0.00045351473922902497 0.012269938650306749
2 40 117 81	0.003875968992248062 0.006134969325153374
2 40 126 2	0.00016894745734076703 0.006134969325153374
2 40 126 4	0.049429657794676805 0.012269938650306749
2 40 126 55	0.12 0.018404907975460124
2 43 97 81	0.017241379310344827 0.006134969325153374
2 43 108	0.013888888888888888 0.006134969325153374
2 44 46 111	0.0001704521242595986 0.006134969325153374
2 45 110	0.0013477088948787063 0.006134969325153374
2 46 111	6.880191498663379e-05 0.04294478527607362
2 46 111 50	0.0010007412898443292 0.012269938650306749
2 46 111 88	9.576480164715458e-05 0.006134969325153374
2 46 111 115	0.0011098322920092074 0.012269938650306749
2 50	0.09090909090909091 0.006134969325153374
