1 66	0.0014316392269148174 0.00015106881184379485
1 66 1 66	0.0014488925177909592 0.00015106881184379485
1 66 16 81	0.0010907870448061754 0.00037767202960948713
1 66 20 85	0.001302528323542877 0.0017372913362036408
1 66 20 105	0.2757255936675462 0.002266032177656923
1 66 23	0.01818181818181818 7.553440592189743e-05
1 66 24 89	0.0009979486610855464 0.00015106881184379485
1 66 30 85	0.034328358208955224 0.0006042752473751794
1 66 35 100	0.00014181867408134805 0.0006798096532970768
1 66 39 104	0.0006304542588844278 0.0003021376236875897
1 66 40 105	0.00030564215416590255 0.00037767202960948713
1 66 43 81	0.0008289124668435014 0.00037767202960948713
1 66 46 111	0.00012387760280414354 0.001963894553969333
1 66 57 122	0.004728132387706856 7.553440592189743e-05
1 66 83 105	0.048363741673906745 0.0015862225243598459
1 66 85	0.006390274314214464 0.0012085504947503588
1 66 88	0.02040816326530612 7.553440592189743e-05
1 66 105	0.33972602739726027 0.0029458418309539994
14 79 15 100	0.007731958762886598 0.00022660321776569228
14 79 30 85	0.011764705882352941 0.00015106881184379485
14 79 105	1.0 0.0010574816829065639
15 80 15 100	0.00038460307323483564 0.05559332275851651
15 80 18 85	0.0005070940030673579 0.06375103859808143
15 80 18 105	0.018019940486775497 0.004380995543470051
15 80 27 77	0.0033809553260354176 0.0012085504947503588
15 80 27 85	0.0008236804165178995 0.06208928166779968
15 80 27 104	0.003955402883695587 0.008308784651408717
15 80 27 105	0.010712115352742942 0.03104464083389984
15 80 30 85	0.0029672911590756497 0.0703980663192084
15 80 30 105	0.012423004334570794 0.003096910642797794
15 80 33 104	0.005751848808545604 0.0005287408414532819
15 80 34 77	0.008329168748958855 0.0012840849006722562
15 80 34 104	0.008117775228252171 0.022358184152881638
15 80 34 105	0.022850463422707714 0.06329783216255004
15 80 51 116	0.00032948567286465827 0.002719238613188307
15 80 52 85	0.007476209181798599 0.02288692499433492
15 80 52 104	0.021015761821366025 0.0007553440592189743
15 80 52 105	0.001580258919346016 0.0014351537125160511
15 80 56 66	0.007936507936507936 7.553440592189743e-05
15 80 56 100	0.1111111111111111 0.00022660321776569228
15 80 77	0.008049678012879485 0.00234156658357882
15 80 83 85	0.00046689266744662586 0.06375103859808143
15 80 83 105	0.017630924432254017 0.004456529949391948
15 80 85	0.004020494898488057 0.06949165344814563
15 80 85 8	0.0014545454545454545 0.00045320643553138455
15 80 85 73	0.0015378700499807767 0.00045320643553138455
15 80 85 88	0.0011554015020219526 0.00045320643553138455
15 80 85 123	0.003429355281207133 0.0006042752473751794
15 80 86 110	0.04522613065326633 0.0007553440592189743
15 80 92 77	0.0038274346737230073 0.0009819472769846665
15 80 92 85	0.0008530166590217639 0.061031799984893116
15 80 92 104	0.003972469097861755 0.008157715839564922
15 80 92 105	0.010841467219325222 0.030969106427977944
15 80 93 75	0.014059753954305799 0.00037767202960948713
15 80 95 14	0.003389830508474576 0.00015106881184379485
15 80 95 75	0.0044014084507042256 0.0005287408414532819
15 80 95 77	0.0018207994579945799 0.002492635395422615
15 80 95 81	0.007598282127518996 0.0015862225243598459
15 80 95 104	0.0014004806077362341 0.028325402220711535
15 80 95 105	0.0032953584322800026 0.08777097968124481
15 80 95 122	0.0009892419933226165 0.00045320643553138455
15 80 98 105	0.025423728813559324 0.00045320643553138455
15 80 99 85	0.005700522319273142 0.0674522244882544
15 80 99 104	0.003518029903254178 0.00022660321776569228
15 80 99 105	0.02750809061488673 0.0012085504947503588
15 80 104	0.008414789630259243 0.028929677468086713
15 80 105	0.03025544789552296 0.11080897348742352
