1 66	1.1584196838672682e-05 0.000726480203414457
1 66 1 66	1.1674474436733256e-05 0.000726480203414457
1 66 6 71	0.00043916049839371504 0.055938975662913185
1 66 8 10	0.026340254105980787 0.01452960406828914
1 66 10	0.041684913788713605 0.16345804576825282
1 66 10 32	0.02538001863170571 0.015256084271703597
1 66 10 33	0.032158317872603585 0.002905920813657828
1 66 10 97	0.008780653455259902 0.054122775154377044
1 66 10 98	0.05239294710327456 0.00472212132219397
1 66 12 93	0.00258738527631322 0.011623683254631312
1 66 12 118	0.0013883651571766481 0.0032691609153650564
1 66 20 95	3.0320303688161743e-06 0.0003632401017072285
1 66 23 10	0.03497369235530796 0.03559752996730839
1 66 23 79	0.012096774193548387 0.002179440610243371
1 66 37 71	0.0004920953294547085 0.02869596803487105
1 66 39 93	0.004046690333231071 0.034871049763893935
1 66 39 118	0.0021747562056737588 0.00472212132219397
1 66 40 93	0.0042777535355847576 0.022884126407555393
1 66 40 118	0.0009276309413377269 0.003632401017072285
1 66 44 10	0.021432496794284668 0.03632401017072285
1 66 44 79	0.024096385542168676 0.002179440610243371
1 66 45 10	0.08239947264337508 0.025426807119505995
1 66 46 111	1.7957925326903655e-07 0.000726480203414457
1 66 50 10	0.019794721407624633 0.017798764983654194
1 66 53 93	0.0036937541974479517 0.005811841627315656
1 66 58 10	0.041474654377880185 0.03741373047584454
1 66 73 10	0.026340254105980787 0.01452960406828914
1 66 75 10	0.059587813620071685 0.017072284780239737
1 66 79	0.013643410852713178 0.014166363966581911
1 66 79 32	0.031754032258064516 0.011260443152924083
1 66 85 10	0.06875 0.0032691609153650564
1 66 88 10	0.03497369235530796 0.03559752996730839
1 66 88 79	0.024193548387096774 0.002179440610243371
1 66 109 10	0.030215646940822467 0.048674173628768615
1 66 115 10	0.016129032258064516 0.011260443152924083
1 66 121 10	0.008064516129032258 0.001452960406828914
1 66 123 10	0.03195739014647137 0.008717762440973484
1 121 85 10	0.3333333333333333 0.000726480203414457
2 6 71 10	0.01485148514851485 0.000726480203414457
2 10	1.0 0.0003632401017072285
2 10 75 10	0.875 0.0003632401017072285
2 16 81 10	0.5 0.0003632401017072285
2 37 102 10	0.005405405405405406 0.0003632401017072285
2 40 105 10	0.5 0.0003632401017072285
2 41 106 10	0.003566333808844508 0.0003632401017072285
2 46 111 10	0.002866284495400613 0.000726480203414457
2 67 2 10	1.0 0.0003632401017072285
2 67 10	1.0 0.000726480203414457
6 71	0.0005133352392121348 0.08572466400290592
6 71 2 10	0.06493506493506493 0.0018162005085361425
6 71 6 71	0.00032190426807728517 0.17508172902288413
6 71 6 102	0.0008627447941488339 0.001452960406828914
6 71 8 10	0.047370105622532806 0.08172902288412641
6 71 10	0.05722919896719227 0.7039593171086088
6 71 10 14	0.0006898454746136866 0.013803123864874683
6 71 10 32	0.07049854726152008 0.09117326552851435
6 71 10 33	0.09081318681318681 0.024700326916091538
6 71 10 79	0.001945903872348706 0.0010897203051216855
6 71 10 97	0.008312415190223764 0.22012350163458047
6 71 10 98	0.05416601122122595 0.017435524881946968
6 71 12 93	0.004950743028886291 0.07954958227388303
6 71 12 118	0.0015538608917351196 0.02687976752633491
6 71 14 10	0.02900461437046803 0.05085361423901199
6 71 14 79	0.026179303531736232 0.03632401017072285
6 71 20 86	1.0044045069175464e-05 0.0018162005085361425
6 71 20 95	6.659113115713329e-05 0.02143116600072648
6 71 21 93	0.006024096385542169 0.000726480203414457
6 71 21 95	0.000291300483855041 0.01452960406828914
6 71 22 71	0.001589914122244242 0.005448601525608427
6 71 23 10	0.042 0.07918634217217581
6 71 23 79	0.017361111111111112 0.005448601525608427
6 71 25 90	0.012263099219620958 0.003995641118779513
6 71 28 93	0.00677032892141038 0.13548855793679623
6 71 28 118	0.001694931484549311 0.02361060661096985
6 71 29 94	0.0182648401826484 0.06865237922266618
6 71 30 95	0.00020761162142262241 0.007991282237559027
6 71 32	0.039925965097831834 0.0472212132219397
6 71 32 32	0.06103619588360539 0.018162005085361425
6 71 32 33	0.06395348837209303 0.003995641118779513
6 71 32 97	0.010719015067463583 0.1529240828187432
6 71 32 98	0.0763302752293578 0.012350163458045769
6 71 33	0.008274036074797287 0.015982564475118054
6 71 33 10	0.06549678695007415 0.058481656374863786
6 71 33 97	0.010595312920894316 0.08063930257900472
6 71 33 98	0.0022061892552620596 0.011623683254631312
6 71 37 71	0.000786656255726309 0.017798764983654194
6 71 37 94	0.012647390746001479 0.05448601525608427
6 71 39 93	0.004139185421907935 0.09371594624046495
6 71 39 118	0.0018248021729441544 0.024337086814384307
6 71 40 93	0.004211859801137451 0.1482019614965492
6 71 40 118	0.0015030689033212867 0.04068289139120959
6 71 43	0.00023646252069047056 0.0003632401017072285
6 71 44 10	0.034936756477171205 0.1213221939702143
