2	1.0 1.0
2 1 66	0.0052151319248971515 0.06932409012131716
2 1 66 8	0.004435483870967742 0.0010831889081455806
2 1 66 23	0.005741234365388558 0.0025996533795493936
2 1 66 44	0.0019697156223070296 0.0010831889081455806
2 1 66 50	0.0035248501938667607 0.0008665511265164644
2 1 66 58	0.004432321854756222 0.0009748700173310225
2 1 66 73	0.003793266951161688 0.0006499133448873484
2 1 66 85	0.00040870542556452436 0.0016247833622183708
2 1 66 88	0.004561824729891957 0.001949740034662045
2 1 66 109	0.0005236973029588898 0.0002166377816291161
2 1 66 115	0.004030780505679736 0.0009748700173310225
2 1 66 123	0.0007964954201513341 0.0002166377816291161
2 1 121 85	0.01293103448275862 0.0003249566724436742
2 6 71	0.00682480692980396 0.09532062391681109
2 6 71 2	0.00738206816549015 0.04657712305025997
2 6 71 4	0.005940820290186222 0.001949740034662045
2 6 71 8	0.004828002414001207 0.001841421143847487
2 6 71 14	0.004456327985739751 0.0002166377816291161
2 6 71 23	0.004301752177106284 0.0030329289428076256
2 6 71 33	0.000996512207274539 0.00010831889081455805
2 6 71 44	0.012778603268945022 0.0012998266897746968
2 6 71 45	0.0009598464245720685 0.0003249566724436742
2 6 71 50	0.0017057569296375266 0.0007582322357019064
2 6 71 55	0.004166666666666667 0.00010831889081455805
2 6 71 58	0.0037817396002160996 0.0011915077989601386
2 6 71 73	0.004173622704507512 0.0014081455805892548
2 6 71 75	0.002061371464356539 0.003574523396880416
2 6 71 88	0.004465744472279708 0.0030329289428076256
2 6 71 98	0.0022172949002217295 0.00010831889081455805
2 6 71 109	0.005829596412556054 0.0006499133448873484
2 6 71 110	0.0037217957664573155 0.0012998266897746968
2 6 71 115	0.001948051948051948 0.0007582322357019064
2 6 71 123	0.0030429821224800305 0.0008665511265164644
2 6 87	0.035211267605633804 0.0005415944540727903
2 6 87 2	0.1206896551724138 0.0011915077989601386
2 8	0.07301587301587302 0.002383015597920277
2 8 1 66	0.0032378580323785804 0.0006499133448873484
2 8 6 71	0.002035080918693672 0.0015164644714038128
2 8 8	0.6835748792270532 0.025238301559792026
2 8 8 8	0.20958751393534003 0.0031412478336221837
2 8 8 23	0.0975609756097561 0.0004332755632582322
2 8 8 50	0.014084507042253521 0.00010831889081455805
2 8 8 73	0.2260823089257082 0.004657712305025996
2 8 8 88	0.125 0.0003249566724436742
2 8 8 115	0.01639344262295082 0.00010831889081455805
2 8 8 123	0.15966386554621848 0.0003249566724436742
2 8 10 75	0.002858776443682104 0.0005415944540727903
2 8 12 77	0.00847457627118644 0.0002166377816291161
2 8 12 105	0.001098901098901099 0.0002166377816291161
2 8 16 81	0.005296343001261034 0.0016247833622183708
