2	0.04134275618374558 0.18780096308186195
2 1 66	0.0004565283554834128 0.025682182985553772
2 6 71	0.0004334050693448111 0.030497592295345103
2 6 71 2	0.0012991302433116813 0.025682182985553772
2 6 71 4	0.0207946528035648 0.027287319422150885
2 6 71 23	0.00032808398950131233 0.0016051364365971107
2 6 71 44	0.0009569377990430622 0.0016051364365971107
2 6 71 55	0.011764705882352941 0.0016051364365971107
2 6 71 88	0.00034094783498124785 0.0016051364365971107
2 6 71 109	0.00612088752869166 0.0016051364365971107
2 6 87	0.04477611940298507 0.004815409309791332
2 6 87 2	0.008620689655172414 0.0016051364365971107
2 6 87 4	0.06666666666666667 0.0016051364365971107
2 8	0.02040816326530612 0.0032102728731942215
2 8 8	0.028409090909090908 0.008025682182985553
2 8 8 123	0.35135135135135137 0.0032102728731942215
2 8 16 81	0.002540220152413209 0.0032102728731942215
2 8 35 100	0.00013031013812874641 0.012841091492776886
2 8 40 77	0.0018181818181818182 0.0016051364365971107
2 8 43 108	0.019867549668874173 0.004815409309791332
2 8 46 111	9.219077120094403e-05 0.04654895666131621
2 8 51 116	0.0005333333333333334 0.0016051364365971107
2 8 67 2	0.02385008517887564 0.008025682182985553
2 8 67 4	0.19047619047619047 0.008025682182985553
2 8 69 2	0.08163265306122448 0.0032102728731942215
2 8 69 4	0.47058823529411764 0.0032102728731942215
2 8 73	0.03317535545023697 0.011235955056179775
2 8 73 8	0.0007145409074669524 0.0032102728731942215
2 8 73 123	0.5 0.0032102728731942215
2 8 123	0.21875 0.0032102728731942215
2 10 75	0.00025749967812540236 0.0032102728731942215
2 12 77	0.003257328990228013 0.01765650080256822
2 12 77 123	0.014018691588785047 0.004815409309791332
2 12 83 85	1.284224585195459e-05 0.0016051364365971107
2 12 104	0.00010778765831312315 0.0032102728731942215
2 12 105	0.00018561484918793505 0.006420545746388443
2 12 105 23	0.0010615711252653928 0.0016051364365971107
2 12 117 81	0.0013413816230717639 0.0032102728731942215
2 12 121 81	0.022727272727272728 0.0016051364365971107
2 12 126 2	0.00013719303059404582 0.004815409309791332
2 12 126 4	0.02599388379204893 0.02247191011235955
2 12 126 55	0.03524229074889868 0.008025682182985553
2 16 28 77	0.0011441647597254005 0.0032102728731942215
2 16 28 104	0.0002642007926023778 0.0032102728731942215
2 16 28 105	0.00016977928692699492 0.0032102728731942215
2 16 30 85	0.000498355427090601 0.014446227929373997
2 16 32 81	0.00024213075060532688 0.0016051364365971107
2 16 33 81	0.00024509803921568627 0.0016051364365971107
2 16 52 77	0.00101010101010101 0.0032102728731942215
2 16 52 104	0.0007056451612903225 0.011235955056179775
2 16 56	0.2222222222222222 0.0016051364365971107
2 16 56 105	0.001937984496124031 0.0016051364365971107
2 16 81	0.0022128860524037075 0.08186195826645265
2 16 81 23	0.0030864197530864196 0.011235955056179775
2 16 81 50	0.004518072289156626 0.004815409309791332
2 16 81 88	0.0029644268774703555 0.009630818619582664
2 16 81 115	0.004885993485342019 0.004815409309791332
2 16 81 123	0.005657708628005658 0.004815409309791332
2 16 97 81	0.000946969696969697 0.0016051364365971107
2 16 98 81	0.000946969696969697 0.0016051364365971107
