6 71 9	1.0 0.25
9	1.0 1.0
9 74 9	1.0 1.0
9 87 22	1.0 1.0
30 15 100 22	0.011904761904761904 0.75
30 34 117 9	0.7222222222222222 0.75
30 95 9	0.7222222222222222 0.75
30 95 117 9	0.7222222222222222 0.75
33 98 9	1.0 0.625
42 107 9	1.0 0.125
49 114 7 22	1.0 0.125
49 114 9	1.0 0.125
52 15 100 22	0.014285714285714285 0.75
52 30 95 9	0.7222222222222222 0.75
52 52 117 9	0.7222222222222222 0.75
52 99 95 9	0.7222222222222222 0.75
52 117 9	0.7435897435897436 0.75
52 117 117 9	0.7222222222222222 0.75
81 16 9	1.0 0.125
