76 11 89	1.0 0.1246814350127426
76 21 15 100	0.06376735997913542 0.09586355616545775
76 21 34 104	0.047619047619047616 0.00019603999215840032
76 21 85	0.1694915254237288 0.00607723975691041
76 21 95 104	0.09892729439809297 0.016663399333464026
76 21 95 105	0.057624113475177305 0.01293863948245442
76 21 95 108	0.8421052631578947 0.003136639874534405
76 28 15 100	0.0018264840182648401 0.00039207998431680063
76 28 30 77	0.2 0.00019603999215840032
76 28 30 85	0.0008680555555555555 0.00019603999215840032
76 28 52 77	0.2 0.00019603999215840032
76 28 52 85	0.0008904719501335708 0.00019603999215840032
76 28 77	0.038461538461538464 0.00019603999215840032
76 28 99 77	0.2 0.00019603999215840032
76 28 99 85	0.0008424599831508003 0.00019603999215840032
76 28 104	0.0017452006980802793 0.00019603999215840032
76 28 117 81	0.017241379310344827 0.00019603999215840032
76 30 15 100	0.0017528483786152498 0.00039207998431680063
76 30 18 85	6.778282383244086e-05 0.00019603999215840032
76 30 34 77	0.03333333333333333 0.00019603999215840032
76 30 34 104	0.003367003367003367 0.00039207998431680063
76 30 77	0.2 0.00019603999215840032
76 30 83 85	6.777363605557438e-05 0.00019603999215840032
76 30 85	0.001635322976287817 0.00039207998431680063
76 30 95 77	0.03571428571428571 0.00019603999215840032
76 30 95 81	0.009900990099009901 0.00019603999215840032
76 30 95 104	0.0016025641025641025 0.00019603999215840032
76 30 95 105	0.0024875621890547263 0.00019603999215840032
76 30 117 77	0.038461538461538464 0.00019603999215840032
76 30 117 104	0.0017452006980802793 0.00019603999215840032
76 38 80 77	0.034482758620689655 0.00019603999215840032
76 38 80 85	0.02320335159523042 0.007253479709860812
76 38 80 104	0.0034602076124567475 0.000588119976475201
76 38 100	0.05599270156232181 0.09625563614977456
89	1.0 1.0
89 1 15 100	0.17345132743362832 0.03783571848657126
89 1 34 104	0.16276595744680852 0.029994118800235246
89 1 66	0.04105416032021537 0.03528719858851206
89 1 66 8	0.01735357917570499 0.000588119976475201
89 1 66 23	0.0684931506849315 0.002352479905900804
89 1 66 44	0.02806122448979592 0.0009801999607920015
89 1 66 58	0.017482517482517484 0.001176239952950402
89 1 66 73	0.020050125313283207 0.000588119976475201
89 1 66 85	0.05433579335793358 0.04214859831405607
89 1 66 88	0.07822685788787484 0.002352479905900804
89 1 66 105	0.039735099337748346 0.00039207998431680063
89 1 66 109	0.011797752808988765 0.001176239952950402
89 1 85	0.03747418117438772 0.02489707900411684
89 1 95 81	0.15822784810126583 0.004312879827484807
89 1 95 104	0.22373806275579808 0.03215055871397765
89 1 121 85	0.059490084985835696 0.003920799843168006
89 6 71	0.02849804639471024 0.02528915898843364
89 6 71 8	0.0182648401826484 0.000588119976475201
89 6 71 44	0.01762313601446001 0.0009801999607920015
89 6 71 73	0.0186219739292365 0.000588119976475201
89 6 71 115	0.09538461538461539 0.0007841599686336013
89 6 87 2	0.1206896551724138 0.0017643599294256027
89 8	0.40336134453781514 0.007449519702019212
89 8 1 66	0.13068181818181818 0.0017643599294256027
89 8 6 71	0.005201560468140442 0.0015683199372672025
89 8 8	0.70703125 0.015487159380513624
89 8 8 8	0.6657303370786517 0.008429719662811214
89 8 8 23	0.10638297872340426 0.000588119976475201
89 8 8 73	0.7342995169082126 0.009017839639286415
89 8 8 88	0.1276595744680851 0.0007841599686336013
89 8 8 123	0.6216216216216216 0.001960399921584003
89 8 16 81	0.16521233275159977 0.01803567927857283
89 8 20 85	0.02118531857422806 0.060968437561262495
89 8 22 87	0.030303030303030304 0.00019603999215840032
89 8 22 116	0.002583979328165375 0.00019603999215840032
89 8 23	0.2727272727272727 0.000588119976475201
89 8 23 23	0.45454545454545453 0.0009801999607920015
89 8 24 89	0.7745473537604457 0.5659674573613017
89 8 35 100	0.022123064369700334 0.33013134679474615
89 8 36 101	0.014996471418489768 0.011762399529504019
89 8 39 104	0.1743858236004833 0.04940207802391688
89 8 39 105	0.05355493998153278 0.011174279553028818
89 8 40 104	0.04031209362808843 0.00646931974122721
89 8 40 105	0.061003861003861 0.012742599490296021
89 8 45 108	0.25 0.00019603999215840032
89 8 45 110	0.09418468241997653 0.05136247794550088
89 8 46 111	0.021773129225992872 0.5253871789845128
89 8 51 87	0.030303030303030304 0.00019603999215840032
89 8 51 116	0.045504300234558245 0.015879239364830426
89 8 57 122	0.07936507936507936 0.003920799843168006
89 8 58 123	0.8947368421052632 0.0007841599686336013
89 8 73	0.7927631578947368 0.015879239364830426
89 8 73 8	0.6280667320902846 0.009017839639286415
89 8 73 23	0.17647058823529413 0.000588119976475201
89 8 73 73	0.7364787111622555 0.009017839639286415
89 8 73 123	0.4 0.0017643599294256027
89 8 88	0.3333333333333333 0.0007841599686336013
89 8 88 23	0.4166666666666667 0.0009801999607920015
89 8 88 88	0.45454545454545453 0.0009801999607920015
89 8 123	0.6842105263157895 0.001960399921584003
89 8 123 23	0.9333333333333333 0.0007841599686336013
89 8 123 58	0.5681818181818182 0.003136639874534405
89 10 28 77	0.009523809523809525 0.001176239952950402
89 10 28 104	0.007792713812585233 0.0035287198588512055
89 10 28 105	0.004521963824289405 0.0021564399137424034
89 10 30 85	0.013556618819776715 0.0033326798666928055
89 10 30 122	1.0 0.00019603999215840032
89 10 32 75	0.0018511662347278786 0.00039207998431680063
89 10 53 104	0.011650485436893204 0.002548519898059204
89 10 53 105	0.01390134529147982 0.003724759851009606
89 10 75	0.03547794117647059 0.010390119584395216
89 10 75 73	0.005952380952380952 0.00019603999215840032
89 10 97 75	0.004340277777777778 0.0009801999607920015
89 12 15 100	0.028387225038696944 0.1227210350911586
89 12 18 77	0.012232415902140673 0.000588119976475201
89 12 18 85	0.0006806648113524552 0.010978239560870417
89 12 27 77	0.10328638497652583 0.002548519898059204
89 12 27 85	0.0024592944369063773 0.005489119780435208
89 12 27 105	0.04804560260586319 0.008821799647128014
89 12 30 77	0.03977272727272727 0.00039207998431680063
89 12 30 85	0.04787044303345937 0.08762987649480494
89 12 34 77	0.021806853582554516 0.001372279945108802
89 12 34 104	0.06158705092775365 0.03058223877671045
89 12 34 105	0.014735980352026197 0.007057439717702411
89 12 45 108	0.009283819628647215 0.000588119976475201
89 12 52 77	0.05517241379310345 0.000588119976475201
89 12 52 85	0.05735838314830629 0.027445598902176044
89 12 77	0.16658954187875982 0.03332679866692805
89 12 77 23	0.24855491329479767 0.001960399921584003
89 12 77 44	0.06696428571428571 0.0015683199372672025
89 12 77 88	0.25748502994011974 0.001960399921584003
89 12 77 109	0.052109181141439205 0.001176239952950402
89 12 83 77	0.012195121951219513 0.000588119976475201
89 12 83 85	0.000674372150991071 0.010978239560870417
89 12 85	0.013880965963110857 0.028621838855126445
89 12 85 44	0.005813953488372093 0.00019603999215840032
89 12 85 109	0.01466275659824047 0.0007841599686336013
89 12 85 123	0.027472527472527472 0.000588119976475201
89 12 86 108	0.005128205128205128 0.00019603999215840032
89 12 92 77	0.10784313725490197 0.0021564399137424034
89 12 92 85	0.002526103065005052 0.005685159772593609
89 12 92 105	0.046235138705416116 0.007057439717702411
89 12 93 14	0.10606060606060606 0.00039207998431680063
89 12 93 75	0.003418803418803419 0.001176239952950402
89 12 93 110	0.0563488016318205 0.009801999607920015
89 12 95 56	0.14634146341463414 0.001176239952950402
89 12 95 77	0.04375 0.001372279945108802
89 12 95 81	0.06766917293233082 0.004704959811801608
89 12 95 104	0.0868421052631579 0.03234659870613605
89 12 95 105	0.021925133689839574 0.008037639678494413
89 12 95 108	0.029411764705882353 0.0017643599294256027
89 12 95 110	0.03130590339892665 0.006665359733385611
89 12 99 77	0.029914529914529916 0.00039207998431680063
89 12 99 85	0.03066010083245398 0.055283277788668886
89 12 104	0.10101824042194711 0.08057243677710253
89 12 104 23	0.15602836879432624 0.001176239952950402
89 12 104 58	0.08860759493670886 0.000588119976475201
89 12 104 88	0.16541353383458646 0.001176239952950402
89 12 104 109	0.027989821882951654 0.001176239952950402
89 12 105	0.04029032735890979 0.04900999803960008
89 12 105 58	0.019230769230769232 0.0007841599686336013
89 12 105 123	0.15204678362573099 0.003136639874534405
89 12 117 56	0.4696969696969697 0.0015683199372672025
89 12 117 77	0.07272727272727272 0.0015683199372672025
89 12 117 81	0.13695871097683787 0.005097039796118408
89 12 117 104	0.10881174899866489 0.03195451872181925
89 12 117 110	0.043188137164040775 0.010194079592236817
89 12 118 75	0.012526096033402923 0.000588119976475201
89 12 122	0.06829268292682927 0.0015683199372672025
89 12 122 23	0.5714285714285714 0.00019603999215840032
89 12 122 88	0.8 0.00019603999215840032
89 12 126 2	0.01797937391621794 0.011370319545187219
89 16 28 104	0.2474825716498838 0.03509115859635366
89 16 28 105	0.0868038133467135 0.013134679474612821
89 16 30 77	0.1134453781512605 0.000588119976475201
89 16 30 85	0.07037796787709497 0.04606939815722407
89 16 33 108	0.016666666666666666 0.00039207998431680063
89 16 52 77	0.14895947426067907 0.003920799843168006
89 16 52 104	0.19174553731879718 0.04783375808664968
89 16 52 105	0.07483917731267554 0.023524799059008037
89 16 53 104	0.003205128205128205 0.00019603999215840032
89 16 81	0.10491702683954965 0.3146441874142325
89 16 81 8	0.10142283838015323 0.003724759851009606
89 16 81 23	0.072992700729927 0.00607723975691041
89 16 81 44	0.01077023498694517 0.0015683199372672025
89 16 81 50	0.022727272727272728 0.001372279945108802
89 16 81 58	0.10517435320584927 0.005685159772593609
89 16 81 73	0.1301498127340824 0.003724759851009606
89 16 81 88	0.08065366367949393 0.00627327974906881
89 16 81 109	0.012048192771084338 0.0015683199372672025
89 16 81 115	0.04285714285714286 0.0015683199372672025
89 16 81 123	0.17695248498088476 0.009605959615761616
89 16 98 81	0.01633605600933489 0.00039207998431680063
89 16 108	0.046235944349151896 0.05195059792197608
89 16 108 23	0.03764320785597381 0.001372279945108802
89 16 108 44	0.023138832997987926 0.001372279945108802
89 16 108 58	0.0642570281124498 0.000588119976475201
89 16 108 88	0.03639240506329114 0.001372279945108802
89 16 108 109	0.003367003367003367 0.00039207998431680063
89 16 108 123	0.17891373801916932 0.001372279945108802
89 20 1 66	0.07465461151717437 0.013134679474612821
89 20 14	0.19047619047619047 0.00019603999215840032
89 20 15 100	0.02183385413164514 0.3685551852577926
89 20 18 14	0.00027739251040221914 0.00019603999215840032
89 20 18 77	0.013133155415764968 0.0017643599294256027
89 20 18 85	0.014502316170849445 0.09057047637718095
89 20 18 104	0.00028378424002854265 0.0009801999607920015
89 20 18 105	0.008654594106848377 0.00039207998431680063
89 20 27 77	0.0563150022609482 0.0009801999607920015
89 20 27 85	0.04205163625526402 0.09096255636149775
89 20 27 105	0.04031670699903672 0.000588119976475201
89 20 30 85	0.014070006863417982 0.007645559694177613
89 20 34 77	0.04230878129676819 0.003724759851009606
89 20 34 104	0.09988572655668806 0.0613605175455793
89 20 34 105	0.031071497806691283 0.032934718682611254
89 20 34 122	0.0012385434728758979 0.00019603999215840032
89 20 45 108	0.001949317738791423 0.002548519898059204
89 20 51 116	0.015723270440251572 0.001960399921584003
89 20 56 66	0.07567567567567568 0.0015683199372672025
89 20 56 100	0.07407407407407407 0.00039207998431680063
89 20 66	0.3638968481375358 0.00039207998431680063
89 20 77	0.023510466988727857 0.0017643599294256027
89 20 77 23	0.06666666666666667 0.00019603999215840032
89 20 77 44	0.013013013013013013 0.00039207998431680063
89 20 83 14	0.00027739251040221914 0.00019603999215840032
89 20 83 77	0.01330902440444456 0.0017643599294256027
89 20 83 85	0.01456721960825864 0.09057047637718095
89 20 83 104	0.0002848984579756453 0.0009801999607920015
89 20 83 105	0.008693416803469866 0.00039207998431680063
89 20 85	0.04201499899190645 0.28445402862183883
89 20 85 8	0.01585892417577983 0.0033326798666928055
89 20 85 23	0.03268303621482229 0.005881199764752009
89 20 85 43	0.0002835992800050932 0.00019603999215840032
89 20 85 44	0.0016701623553173309 0.001372279945108802
89 20 85 50	0.006375808361417251 0.0017643599294256027
89 20 85 58	0.029231898238747552 0.004508919819643208
89 20 85 73	0.018820036394981324 0.0033326798666928055
89 20 85 88	0.03542565473658626 0.005881199764752009
89 20 85 109	0.010665036342639767 0.0021564399137424034
89 20 85 115	0.006572769953051643 0.0017643599294256027
89 20 85 123	0.0519559902200489 0.005685159772593609
89 20 86 2	0.0008499693271938447 0.005881199764752009
89 20 86 4	0.0026181274155342225 0.0007841599686336013
89 20 86 14	0.0625 0.00039207998431680063
89 20 86 108	0.0031446540880503146 0.0007841599686336013
89 20 92 77	0.05942848747520752 0.0009801999607920015
89 20 92 85	0.04332110980969394 0.09429523622819055
89 20 95 14	0.1206060606060606 0.0009801999607920015
89 20 95 56	0.10250278973377969 0.0017643599294256027
89 20 95 75	0.002459490740740741 0.00039207998431680063
89 20 95 77	0.07343231313610331 0.007645559694177613
89 20 95 81	0.10185389887250103 0.007449519702019212
89 20 95 85	0.010721757322175732 0.0007841599686336013
89 20 95 91	0.005154639175257732 0.00019603999215840032
89 20 95 104	0.08656986839125293 0.10488139580474416
89 20 95 105	0.04338510290221606 0.10292099588316017
89 20 95 108	0.06398164669895488 0.00627327974906881
89 20 95 110	0.04968515577944478 0.013722799451088022
89 20 95 116	0.015507632662951297 0.003724759851009606
89 20 95 122	0.03640284119736174 0.0021564399137424034
89 20 95 128	0.14285714285714285 0.00039207998431680063
89 20 104	0.0030328559393428814 0.00039207998431680063
89 20 105	0.020766258853831293 0.000588119976475201
89 20 117 77	0.14588235294117646 0.0017643599294256027
89 20 117 104	0.20225776105362184 0.04195255832189767
89 20 117 105	0.07487093746333451 0.01744755930209763
89 20 117 122	0.007564296520423601 0.00019603999215840032
89 20 122	0.02446043165467626 0.00039207998431680063
89 20 122 123	0.38235294117647056 0.00019603999215840032
89 22 87	0.11378205128205128 0.004900999803960008
89 22 87 8	0.038461538461538464 0.00019603999215840032
89 22 87 23	0.05263157894736842 0.00019603999215840032
89 22 87 73	0.038461538461538464 0.00019603999215840032
89 22 87 88	0.058823529411764705 0.00019603999215840032
89 22 116	0.00516795865633075 0.0007841599686336013
89 22 116 8	0.07142857142857142 0.00019603999215840032
89 22 116 23	0.017857142857142856 0.00019603999215840032
89 22 116 73	0.08333333333333333 0.00019603999215840032
89 22 116 88	0.019230769230769232 0.00019603999215840032
89 22 116 109	0.01948051948051948 0.00019603999215840032
89 23	0.4782608695652174 0.010782199568712018
89 23 1 66	0.10600706713780919 0.007645559694177613
89 23 8	0.42857142857142855 0.000588119976475201
89 23 8 73	0.6153846153846154 0.0007841599686336013
89 23 10 75	0.023668639053254437 0.0015683199372672025
89 23 12 77	0.12738853503184713 0.004704959811801608
89 23 12 104	0.08279483037156704 0.03646343854146246
89 23 12 105	0.03210795718939041 0.01215447951382082
89 23 16 81	0.07678983833718245 0.01901587923936483
89 23 20 85	0.02477372200739387 0.06449715742011371
89 23 22 87	0.019230769230769232 0.00019603999215840032
89 23 22 116	0.007751937984496124 0.000588119976475201
89 23 23	0.9243697478991597 0.020976279160948835
89 23 23 8	0.3333333333333333 0.0009801999607920015
89 23 23 23	0.4628099173553719 0.010586159576553617
89 23 23 58	0.4583333333333333 0.001176239952950402
89 23 23 73	0.35714285714285715 0.0009801999607920015
89 23 23 88	0.4444444444444444 0.010586159576553617
89 23 23 109	0.1 0.00039207998431680063
89 23 23 123	0.5 0.0009801999607920015
89 23 24 89	0.8540879886213154 0.5124485395020584
89 23 24 110	0.2916666666666667 0.000588119976475201
89 23 35 100	0.025957725126367168 0.3105273475789061
89 23 36 101	0.023393636930754833 0.014702999411880023
89 23 37 102	0.017421602787456445 0.0029405998823760046
89 23 37 111	0.044897959183673466 0.00646931974122721
