1	1.0 1.0
1 18 18	0.03191340293431392 0.0016304347826086956
1 18 18 83	0.06910766076754397 0.0016304347826086956
1 18 27 27	0.011373411067571441 0.0010869565217391304
1 18 45 110	0.01118920547891938 0.0016304347826086956
1 18 83	0.030441197009352286 0.0016304347826086956
1 18 83 18	0.06591003946313166 0.0016304347826086956
1 18 83 83	0.0655325827912513 0.0016304347826086956
1 18 85 20	0.0075146117450598385 0.0016304347826086956
1 18 92	0.01566265060240964 0.0016304347826086956
1 18 92 83	0.037634900357660164 0.0016304347826086956
1 18 95 30	0.0041893590280687055 0.0016304347826086956
1 18 126 21	0.09210526315789473 0.0010869565217391304
1 27 18	0.029867256637168143 0.0016304347826086956
1 27 83 83	0.027402440639931337 0.0016304347826086956
1 27 92	0.28169014084507044 0.0016304347826086956
1 34 104 20	0.44869831546707506 0.0016304347826086956
1 45 110	0.022009966777408636 0.0016304347826086956
1 45 110 18	0.034769300592054526 0.0016304347826086956
1 45 110 83	0.03446492383388165 0.0016304347826086956
1 66 1	0.9747283388389014 1.0
1 66 8 1	1.0 0.5429347826086957
1 66 10 1	1.0 0.375
1 66 12 1	0.5113636363636364 0.024456521739130436
1 66 18 1	0.056893469344831214 0.09891304347826087
1 66 18 56	0.018221429986135868 0.04021739130434782
1 66 20 1	0.5030123456790123 0.1934782608695652
1 66 20 56	0.7157604955264969 0.0625
1 66 23 1	0.8556390977443609 0.4385869565217391
1 66 39 1	1.0 0.025
1 66 40 1	0.3709016393442623 0.0625
1 66 44 1	0.7045012323258529 0.5744565217391304
1 66 50 1	0.8718535469107551 0.4141304347826087
1 66 56	0.07512953367875648 0.0625
1 66 58 1	1.0 0.453804347826087
1 66 73 1	1.0 0.5429347826086957
1 66 75 1	1.0 0.375
1 66 77 1	0.9183673469387755 0.02391304347826087
1 66 83 1	0.056893469344831214 0.09891304347826087
1 66 83 56	0.018221429986135868 0.04021739130434782
1 66 85 1	0.5991059875308787 0.19130434782608696
1 66 88 1	0.8556390977443609 0.4385869565217391
1 66 92 56	0.004166666666666667 0.0005434782608695652
1 66 104 1	1.0 0.025
1 66 105 1	0.3969298245614035 0.03858695652173913
1 66 109 1	0.6097451442685529 0.5744565217391304
1 66 115 1	0.8718535469107551 0.4141304347826087
1 66 123 1	1.0 0.453804347826087
1 83 18	0.03717185832782074 0.0016304347826086956
1 83 18 18	0.04097356782698016 0.0016304347826086956
1 83 18 27	0.03308715577005317 0.0016304347826086956
1 83 18 83	0.03852851035243249 0.0016304347826086956
1 83 18 92	0.035416830286535854 0.0016304347826086956
1 83 27 18	0.044579498889315367 0.0016304347826086956
1 83 45 110	0.011138308570994859 0.0016304347826086956
1 83 83	0.03787008648020716 0.0016304347826086956
1 83 83 18	0.04324509068348049 0.0016304347826086956
1 83 83 83	0.04152472515463493 0.0016304347826086956
1 83 83 92	0.04661407722748567 0.0016304347826086956
1 83 85 20	0.007551540421589066 0.0016304347826086956
1 83 86 21	0.0634314100114635 0.0016304347826086956
1 83 92 83	0.04010581966897125 0.0016304347826086956
1 85 12 83	0.03499469777306469 0.0005434782608695652
1 85 20	0.9213367609254499 0.02608695652173913
1 85 20 92	0.13594751665466984 0.0010869565217391304
1 85 35 80	0.00820588829751398 0.0010869565217391304
1 85 39 52	0.23615916955017302 0.0016304347826086956
1 85 39 99	0.22801556420233463 0.0016304347826086956
1 85 40 30	0.22857142857142856 0.0016304347826086956
1 85 67 21	0.594059405940594 0.0016304347826086956
1 86 2 20	0.5206073752711496 0.0016304347826086956
1 86 21	0.6738351254480287 0.0016304347826086956
1 86 21 18	0.028655619797511682 0.0016304347826086956
1 86 21 27	0.20576607262331975 0.0005434782608695652
1 92 18 83	0.027667471800531248 0.0016304347826086956
1 92 27	0.27710843373493976 0.0016304347826086956
1 92 83	0.0333716915995397 0.0016304347826086956
1 92 92	0.25301204819277107 0.0016304347826086956
1 95 30	0.7353846153846154 0.0016304347826086956
1 95 77 20	0.525 0.0016304347826086956
1 104 39	0.972972972972973 0.0125
1 116 51	0.9627791563275434 0.0005434782608695652
1 116 73 51	0.9333333333333333 0.0005434782608695652
1 116 109 51	0.3125 0.0005434782608695652
1 116 123 51	0.4 0.0005434782608695652
1 117 30	0.4666666666666667 0.0016304347826086956
1 121 1	0.7388535031847133 0.06304347826086956
1 121 18 1	0.054989816700611 0.042934782608695654
1 121 56	1.0 0.06304347826086956
1 121 83 1	0.054989816700611 0.042934782608695654
1 121 85 1	0.9774436090225563 0.06304347826086956
1 126 21	0.6206896551724138 0.0016304347826086956
6 71 1	0.8531218672081845 0.2565217391304348
6 71 2 1	0.4041994750656168 0.003260869565217391
6 71 8 1	0.5937921727395412 0.10869565217391304
6 71 10 1	0.6865671641791045 0.025
6 71 14 1	0.9926624737945493 0.08695652173913043
6 71 20 1	0.02254492939666239 0.029347826086956522
6 71 20 56	0.005250875145857643 0.0038043478260869567
6 71 21 1	0.0045662100456621 0.004347826086956522
6 71 23 1	0.6780341023069207 0.13695652173913042
6 71 44 1	0.48778238819732594 0.15543478260869564
6 71 50 1	0.7637540453074434 0.10163043478260869
6 71 58 1	0.7008928571428571 0.05597826086956522
6 71 73 1	0.5937921727395412 0.10869565217391304
6 71 75 1	0.8701028403525954 0.16630434782608697
6 71 88 1	0.6780341023069207 0.13695652173913042
6 71 98 1	0.2857142857142857 0.0010869565217391304
6 71 109 1	0.30787172011661806 0.18097826086956523
6 71 110 1	0.9907550077041603 0.0891304347826087
6 71 115 1	0.8339552238805971 0.10434782608695652
6 71 123 1	0.7789855072463768 0.1625
6 87 1	0.3333333333333333 0.0005434782608695652
6 87 20 1	0.043478260869565216 0.0010869565217391304
