1 66	0.0017985611510791368 0.00012553351744915893
1 66 1 66	0.0012527574280345325 0.00012553351744915893
1 66 6 71	8.717255807871682e-05 0.00012553351744915893
1 66 18 85	9.923697790323291e-05 0.0005021340697966357
1 66 20 85	0.00019210745722727466 0.0005021340697966357
1 66 35 100	9.442159753687227e-05 0.00025106703489831785
1 66 40 105	0.0005290538753196367 0.00025106703489831785
1 66 46 111	9.937599260618002e-05 0.0011298016570424304
1 66 104	1.0 0.001506402209389907
1 66 105	0.016129032258064516 0.00012553351744915893
1 121 95 105	0.003816793893129771 0.00012553351744915893
7 20 85	0.011673151750972763 0.0003766005523474768
7 35 80 85	0.008086253369272238 0.0003766005523474768
7 35 100	0.008333333333333333 0.00025106703489831785
7 39 105	0.016129032258064516 0.00012553351744915893
7 40 105	0.016129032258064516 0.00012553351744915893
7 46 111	0.00023323615160349855 0.00025106703489831785
7 72 104	1.0 0.0005021340697966357
15 80 15 100	0.0006941023928974795 0.09879487823248807
15 80 18 85	0.0008571461719629204 0.08837559628420788
15 80 18 104	0.06252108691702785 0.007783078081847854
15 80 27 85	0.001425619658544765 0.08912879738890284
15 80 27 104	0.02217860072659088 0.0421792618629174
15 80 27 105	0.006720186944067541 0.014687421541551594
15 80 30 85	0.003912499076581932 0.10205874968616621
15 80 30 104	0.02378331120681281 0.006025608837559628
15 80 34 104	0.056381874783811826 0.1384634697464223
15 80 34 105	0.015080384003679077 0.0372834546824002
15 80 34 122	0.0263671875 0.0011298016570424304
15 80 51 116	0.0006395511921458625 0.003263871453678132
15 80 52 85	0.019650791664059076 0.040421792618629174
15 80 52 104	0.08174386920980926 0.0026362038664323375
15 80 52 105	0.0006328312871788382 0.0006276675872457946
15 80 56 100	0.07407407407407407 0.00025106703489831785
15 80 77	0.006573181419807186 0.0018830027617373838
15 80 83 85	0.0007791857271801095 0.08837559628420788
15 80 83 104	0.061590949901239 0.007783078081847854
15 80 83 105	0.0037808044458616133 0.0007532011046949536
15 80 85	0.006865004205156958 0.09854381119758976
15 80 85 8	0.004932587964485367 0.0010042681395932714
15 80 85 73	0.00528169014084507 0.0010042681395932714
15 80 92 77	0.0031845620038975235 0.0005021340697966357
15 80 92 85	0.001478186379578757 0.08862666331910621
15 80 92 104	0.02229221583109457 0.04205372834546824
15 80 95 77	0.001718065458293961 0.0017574692442882249
15 80 95 85	0.003000750187546887 0.0005021340697966357
15 80 95 104	0.010703703703703703 0.165076575445644
15 80 95 105	0.0024783486002209047 0.0534772784333417
15 80 95 122	0.005209625403125776 0.0018830027617373838
15 80 99 85	0.009993889746165557 0.09716294250564901
15 80 104	0.06439317140424151 0.18779814210394175
15 80 104 23	0.016666666666666666 0.0007532011046949536
15 80 105	0.014795441808331776 0.04807933718302787
15 80 116	0.004916420845624385 0.0012553351744915891
