5 70 64	0.7352941176470589 0.12857142857142856
5 70 129 64	0.3076923076923077 0.02857142857142857
13 78 5 70	0.003740648379052369 0.04285714285714286
13 78 64	0.40159045725646125 0.9142857142857143
13 78 101 36	0.0005625087891998312 0.02857142857142857
13 78 127 36	0.00819672131147541 0.02857142857142857
13 78 129 64	0.07692307692307693 0.014285714285714285
64	1.0 1.0
64 5 70	0.6666666666666666 0.04285714285714286
64 5 70 64	0.6666666666666666 0.05714285714285714
64 13 78	0.5 0.04285714285714286
64 13 78 64	0.3333333333333333 0.014285714285714285
64 101 23 36	0.3333333333333333 0.014285714285714285
64 101 36	0.9511834319526628 0.32857142857142857
64 101 36 64	0.25 0.014285714285714285
64 101 62 64	0.25 0.014285714285714285
64 101 88 36	0.2857142857142857 0.014285714285714285
64 127 62	0.7142857142857143 0.04285714285714286
64 129 5 70	0.006956521739130435 0.04285714285714286
64 129 13 78	0.00010008006405124099 0.014285714285714285
64 129 64	0.5286075949367088 1.0
64 129 101 36	0.0002717391304347826 0.014285714285714285
64 129 127 36	0.0036231884057971015 0.014285714285714285
101 1 66 36	0.007078507078507079 0.02857142857142857
101 6 71 36	0.0015408320493066256 0.02857142857142857
101 8 36 64	1.0 0.05714285714285714
101 10 75 36	0.003257328990228013 0.014285714285714285
101 16 81 36	0.003355704697986577 0.014285714285714285
101 20 85 36	0.0033025099075297227 0.05714285714285714
101 23 36 64	1.0 0.02857142857142857
101 35 100 36	0.0007730364873222016 0.014285714285714285
101 35 100 62	0.000576036866359447 0.014285714285714285
101 36 64	0.9967741935483871 0.2857142857142857
101 36 129 64	0.125 0.014285714285714285
101 37 111 36	0.0036809815950920245 0.014285714285714285
101 39 77 36	0.0048543689320388345 0.014285714285714285
101 39 104 36	0.0004972650422675286 0.014285714285714285
101 39 105 36	0.002066115702479339 0.014285714285714285
101 40 104 36	0.002403846153846154 0.014285714285714285
101 41 106 36	0.00945945945945946 0.04285714285714286
101 44 36 64	1.0 0.02857142857142857
101 45 110 36	0.0005385029617662897 0.014285714285714285
101 46 111 36	0.0027698998337177968 0.12857142857142856
101 46 111 62	0.00010785159620362382 0.014285714285714285
101 51 14 36	1.0 0.014285714285714285
101 51 116 36	0.0004743833017077799 0.014285714285714285
101 62 64	0.9444444444444444 0.04285714285714286
101 73 36 64	1.0 0.05714285714285714
101 88 36 64	1.0 0.02857142857142857
101 109 36 64	1.0 0.02857142857142857
101 123 36	0.3333333333333333 0.014285714285714285
127 1 66 36	0.009433962264150943 0.014285714285714285
127 10 75 36	0.02040816326530612 0.014285714285714285
127 20 85 36	0.0016313213703099511 0.02857142857142857
127 23 62 64	1.0 0.07142857142857142
127 24 89 36	0.002506265664160401 0.014285714285714285
127 35 100 36	0.0018303843807199512 0.014285714285714285
127 36 64	0.9444444444444444 0.02857142857142857
127 36 129 64	0.125 0.014285714285714285
127 41 106 36	0.00683371298405467 0.014285714285714285
127 45 110 36	0.0158311345646438 0.014285714285714285
127 46 111 36	0.004558366915505054 0.07142857142857142
127 49 114 36	0.06521739130434782 0.02857142857142857
127 51 14 36	1.0 0.014285714285714285
127 51 116 36	0.004291845493562232 0.014285714285714285
127 62 64	1.0 0.2571428571428571
127 88 62 64	1.0 0.07142857142857142
