1 66 6	0.00041135335252982314 0.0023923444976076554
1 66 8 22	0.6666666666666666 0.009569377990430622
1 66 22	0.38910505836575876 0.11483253588516747
1 66 23 22	0.3 0.007177033492822967
1 66 44 22	0.20212765957446807 0.03110047846889952
1 66 44 51	0.08288770053475936 0.0215311004784689
1 66 50 22	0.2777777777777778 0.011961722488038277
1 66 51	0.038335158817086525 0.01674641148325359
1 66 85 6	0.0005763688760806917 0.0023923444976076554
1 66 85 22	0.02127659574468085 0.0023923444976076554
1 66 85 35	0.00026932399676811203 0.0023923444976076554
1 66 85 51	0.03615960099750624 0.007177033492822967
1 66 88 22	0.3 0.007177033492822967
1 66 109 22	0.10080645161290322 0.03588516746411483
1 66 109 51	0.056686046511627904 0.011961722488038277
1 66 115 22	0.2777777777777778 0.011961722488038277
2 6	0.05555555555555555 0.0023923444976076554
2 6 71 22	0.16666666666666666 0.004784688995215311
2 6 87 22	1.0 0.0023923444976076554
2 8 67 22	1.0 0.007177033492822967
2 16 81 6	0.017937219730941704 0.004784688995215311
2 20 86 22	1.0 0.004784688995215311
2 23 69 22	1.0 0.0023923444976076554
2 24 89 6	0.011914893617021277 0.028708133971291867
2 37 102 6	0.1111111111111111 0.0023923444976076554
2 39 126 22	0.5 0.009569377990430622
2 40 105 6	0.0014705882352941176 0.0023923444976076554
2 40 126 22	0.5454545454545454 0.009569377990430622
2 45 110 6	0.010752688172043012 0.011961722488038277
2 46 111 6	1.487822175493585e-05 0.007177033492822967
2 67 2 6	0.022988505747126436 0.007177033492822967
2 67 4 6	0.47058823529411764 0.009569377990430622
2 67 22	1.0 0.1076555023923445
2 69 22	1.0 0.014354066985645933
2 73 67 22	1.0 0.007177033492822967
4 6	0.5 0.0023923444976076554
4 6 87 22	1.0 0.0023923444976076554
4 20 86 22	1.0 0.0023923444976076554
4 37 102 6	1.0 0.0023923444976076554
4 40 126 22	0.4 0.004784688995215311
4 45 110 6	0.010752688172043012 0.0023923444976076554
4 46 111 6	0.0002810567734682406 0.004784688995215311
4 67 2 6	0.037037037037037035 0.0023923444976076554
4 67 4 6	0.5 0.0023923444976076554
4 67 22	1.0 0.01674641148325359
4 69 22	1.0 0.05263157894736842
4 88 67 22	1.0 0.0023923444976076554
6	0.06007067137809187 0.04066985645933014
6 71 2 6	0.0007467463196074248 0.014354066985645933
6 71 4 6	0.01192504258943782 0.014354066985645933
6 71 6	0.02461929592445586 0.0861244019138756
6 71 8 22	0.18181818181818182 0.009569377990430622
6 71 10 6	0.11198738170347003 0.03349282296650718
6 71 14 6	0.08490566037735849 0.0215311004784689
6 71 22	0.36857749469214435 0.37320574162679426
6 71 23 6	0.12578616352201258 0.023923444976076555
6 71 31 6	0.013872832369942197 0.004784688995215311
6 71 33 6	0.041666666666666664 0.0023923444976076554
6 71 33 22	0.3333333333333333 0.0023923444976076554
6 71 44 6	0.006598240469208211 0.019138755980861243
6 71 44 22	0.0876010781671159 0.0430622009569378
6 71 44 51	0.0071174377224199285 0.0023923444976076554
6 71 51	0.019148936170212766 0.01674641148325359
6 71 67 22	0.16666666666666666 0.0023923444976076554
6 71 73 22	0.18181818181818182 0.009569377990430622
6 71 75 6	0.037961518460738426 0.0215311004784689
6 71 75 22	0.18518518518518517 0.011961722488038277
6 71 88 6	0.12578616352201258 0.023923444976076555
6 71 98 6	0.0625 0.0023923444976076554
6 71 109 6	0.012430080795525171 0.03827751196172249
6 71 109 22	0.06535947712418301 0.0430622009569378
6 71 109 51	0.003048780487804878 0.004784688995215311
6 71 110 6	0.06201550387596899 0.019138755980861243
6 87 6	0.163575042158516 0.06220095693779904
6 87 10 6	0.5555555555555556 0.023923444976076555
6 87 22	0.4589041095890411 0.06698564593301436
6 87 23 22	0.75 0.004784688995215311
6 87 58 22	1.0 0.007177033492822967
6 87 88 22	0.75 0.004784688995215311
6 87 98 6	0.16666666666666666 0.0023923444976076554
6 87 123 22	1.0 0.007177033492822967
6 102 6	0.0625 0.02631578947368421
6 102 22	0.13333333333333333 0.014354066985645933
6 102 37	0.03896103896103896 0.045454545454545456
6 102 44 22	0.13953488372093023 0.007177033492822967
6 109 44	0.36363636363636365 0.019138755980861243
6 111 44 51	0.3333333333333333 0.0023923444976076554
8 1 66 22	0.6666666666666666 0.0023923444976076554
8 6 102 22	1.0 0.0023923444976076554
8 8 8 22	1.0 0.0023923444976076554
8 8 22	1.0 0.007177033492822967
8 16 81 22	1.0 0.0023923444976076554
