84	1.0 1.0
84 1 66	0.027439024390243903 0.037383177570093455
84 1 66 18	0.10767696909272183 0.14018691588785046
84 1 66 83	0.1091091091091091 0.14953271028037382
84 1 66 95	0.009389671361502348 0.018691588785046728
84 3 68	0.25 0.037383177570093455
84 3 68 83	0.08771929824561403 0.18691588785046728
84 3 68 92	0.045454545454545456 0.018691588785046728
84 15 80	0.22769953051643194 0.32710280373831774
84 15 80 18	0.20899779366586604 0.2803738317757009
84 15 80 27	0.1246947496947497 0.22429906542056074
84 15 80 30	0.2241215574548908 0.1308411214953271
84 15 80 52	0.05779334500875657 0.028037383177570093
84 15 80 83	0.2130943636791995 0.2897196261682243
84 15 80 92	0.11269637704392434 0.24299065420560748
84 15 80 95	0.017897091722595078 0.12149532710280374
84 15 80 99	0.6158536585365854 0.08411214953271028
84 15 100 12	0.03576341127922971 0.028037383177570093
84 15 100 20	0.258350229431224 0.17757009345794392
84 15 100 39	0.002170909808565226 0.04672897196261682
84 15 100 40	0.009266920403772961 0.056074766355140186
84 15 100 57	0.0024410089503661514 0.009345794392523364
84 15 100 121	0.06382978723404255 0.009345794392523364
84 15 103 21	0.375 0.018691588785046728
84 15 103 30	0.35 0.018691588785046728
84 18	0.2962187805218362 0.34579439252336447
84 18 1 66	0.004888768417587949 0.028037383177570093
84 18 15 80	0.09396979555444206 0.2897196261682243
84 18 18	0.10792838216835553 0.45794392523364486
84 18 18 18	0.18610015371128463 0.45794392523364486
84 18 18 27	0.08823905565148031 0.35514018691588783
84 18 18 30	0.35434543422738923 0.028037383177570093
84 18 18 34	0.0004778727287874923 0.009345794392523364
84 18 18 83	0.1873898695520438 0.4672897196261682
84 18 18 92	0.10063556218781408 0.38317757009345793
84 18 18 95	0.0006379202323871925 0.17757009345794392
84 18 18 117	0.04437295903730536 0.018691588785046728
84 18 19 84	0.8821008384505493 0.7289719626168224
84 18 19 121	0.8467000835421888 0.009345794392523364
84 18 27	0.14554545630729276 0.308411214953271
84 18 27 18	0.20713093933461552 0.4392523364485981
84 18 27 27	0.13862641020035715 0.3644859813084112
84 18 27 30	0.9502461777662606 0.06542056074766354
84 18 27 52	0.12786885245901639 0.037383177570093455
84 18 27 83	0.20664888695259195 0.4485981308411215
84 18 27 92	0.15474728059739665 0.3644859813084112
84 18 27 95	0.0023197111079851732 0.14018691588785046
84 18 30	0.6504347826086957 0.028037383177570093
84 18 30 95	0.2527488219334571 0.04672897196261682
84 18 34	0.0023144027060708564 0.009345794392523364
84 18 34 99	0.21650347309398277 0.16822429906542055
84 18 45 110	0.27825538760013097 0.4953271028037383
84 18 56 84	0.9632004735595896 0.5887850467289719
84 18 77 12	0.2947177606340374 0.11214953271028037
84 18 77 20	0.27313859342752816 0.06542056074766354
84 18 77 40	0.03510187613475892 0.009345794392523364
84 18 83	0.10592333582743278 0.4672897196261682
84 18 83 18	0.31883753048691793 0.45794392523364486
84 18 83 27	0.07098540018300577 0.3644859813084112
