1 66 18	0.0626410835214447 0.011776931070315206
1 66 27	0.6788321167883211 0.016279875303082784
1 66 27 18	0.03671333387283861 0.010737790093522688
1 66 83	0.06267645398080181 0.011776931070315206
1 66 92	0.6028368794326241 0.01489435400069276
14 79 83	0.043478260869565216 0.0006927606511950121
15 80	0.006600936762914025 0.4069968825770696
15 80 15 80	0.00530137450818442 0.4156563907170073
15 80 18	0.02330748270802767 0.039140976792518184
15 80 18 18	0.009045443163397074 0.04606858330446831
15 80 18 27	0.030272031930281725 0.0516106685140284
15 80 18 83	0.00875950888797028 0.04606858330446831
15 80 18 95	0.0006858183792835253 0.4347073086248701
15 80 27	0.01468776229801316 0.5389677866297194
15 80 27 18	0.0037958723115617266 0.04191201939729823
15 80 27 27	0.013382455164898967 0.5202632490474541
15 80 27 30	0.011278967216106077 0.006234845860755109
15 80 27 92	0.013250748224229452 0.5077935573259439
15 80 27 95	0.001599579857430909 0.43574644960166264
15 80 30	0.011489509706248194 0.016279875303082784
15 80 30 18	0.001906659918174533 0.02459300311742293
15 80 30 27	0.007816735237965541 0.04329754069968826
15 80 30 34	0.008418463302067598 0.004156563907170073
15 80 30 83	0.0018929578785476216 0.02390024246622792
15 80 30 92	0.006789625485572277 0.039140976792518184
15 80 30 95	0.002336200074770295 0.4388638725320402
15 80 33	0.0106951871657754 0.00796674748874264
15 80 33 98	0.03187250996015936 0.019050917907862834
15 80 34	0.0012075211316198034 0.0017319016279875303
15 80 34 99	0.006922951620785144 0.020436439210252857
15 80 45	0.000518000518000518 0.0010391409767925182
15 80 45 110	0.004208070464094505 0.04745410460685833
15 80 52	0.00020067639750452997 0.010737790093522688
15 80 52 33	0.0028653295128939827 0.00034638032559750607
15 80 52 92	0.026056060007895777 0.03567717353654312
15 80 52 117	0.004091858012749947 0.25943886387253207
15 80 77 12	0.011317292006525285 0.02978870800138552
15 80 77 40	0.011874469889737066 0.014547973675095255
15 80 83	0.02303902528773228 0.03948735711811569
15 80 83 18	0.010268576822150021 0.04606858330446831
15 80 83 83	0.00977159606665358 0.04606858330446831
15 80 83 95	0.0006827382974725222 0.4347073086248701
15 80 85 12	0.004370604069582332 0.02909594735019051
15 80 85 20	0.01484154876564187 0.04329754069968826
15 80 85 39	0.004466759807126241 0.04953238656044337
15 80 85 40	0.004623300858716162 0.10183581572566679
15 80 86 21	0.020552827498811974 0.018704537582265326
15 80 86 53	0.05245901639344262 0.0027710426047800486
15 80 86 61	0.010151947448742617 0.009698649116730169
15 80 92	0.014674101170373004 0.5181849670938691
15 80 92 27	0.014400156062652653 0.5230342916522341
