1 66 6	0.23195465600626206 0.06395958440568106
1 66 8 6	0.09517321915142078 0.021732913926222477
1 66 8 37	0.01068566340160285 0.0003812791916881136
1 66 10 6	0.19602543062431907 0.03364788866647603
1 66 10 37	0.15337423312883436 0.0047659898961014205
1 66 23 6	0.20685434516523868 0.02630826422647984
1 66 23 37	0.005714285714285714 9.53197979220284e-05
1 66 33 6	0.15384615384615385 9.53197979220284e-05
1 66 37	0.007572172266919072 0.005719187875321705
1 66 44 6	0.07263064658990256 0.036793441997902965
1 66 44 37	0.007204610951008645 0.0009531979792202841
1 66 45 6	0.2788378143972246 0.015823086455056715
1 66 50 6	0.15206445115810674 0.020207797159470024
1 66 58 6	0.08723879082978292 0.03298065008102183
1 66 67 6	0.0010714981492304695 0.0005719187875321705
1 66 73 6	0.09517321915142078 0.021732913926222477
1 66 73 37	0.01068566340160285 0.0003812791916881136
1 66 75 6	0.0705521472392638 0.004384710704413306
1 66 79 6	0.4128160418482999 0.015441807263368601
1 66 85 6	0.06607100869974136 0.007625583833762273
1 66 86 6	0.0015756302521008404 0.0007625583833762272
1 66 88 6	0.20685434516523868 0.02630826422647984
1 66 109 6	0.10373896657740751 0.03240873129348966
1 66 109 37	0.011687958684425116 0.0012391573729863693
1 66 115 6	0.17872968980797638 0.019063959584405682
1 66 123 6	0.1590678824721378 0.010199218377657039
1 121 85 6	0.16363636363636364 0.0008578781812982557
2 1 66 6	0.0018465892058467331 0.006195786864931847
2 6	0.05258033106134372 0.005051949289867506
2 6 71 6	0.07242946743413403 0.024878467257649414
2 6 87 6	0.05426356589147287 0.0001906395958440568
2 8 67 6	0.13509843856076034 0.010485177771423125
2 8 69 6	0.22727272727272727 0.00047659898961014205
2 10 75 6	0.00016329729906267352 0.0001906395958440568
2 12 77 6	0.01309757694826457 0.0033361929272709943
2 12 86 6	0.08064516129032258 0.0006672385854541988
2 12 104 6	0.002949231093322098 0.0013344771709083976
2 12 105 6	0.000717948717948718 0.0006672385854541988
2 12 126 6	0.13031738512553293 0.026212944428557813
2 16 81 6	0.002310322521023935 0.002097035554284625
2 16 126 6	0.08333333333333333 9.53197979220284e-05
2 20 77 6	0.01091901728844404 0.001143837575064341
2 20 85 6	0.003036655866844546 0.01382137069869412
2 20 86 6	0.11465277086857029 0.0852158993422934
2 20 95 6	0.0002975304968759298 0.0001906395958440568
2 20 126 6	0.12208760484622554 0.06291106662853875
2 23 23 6	0.02631578947368421 0.0003812791916881136
2 23 67 6	0.1559879235155988 0.021732913926222477
2 23 69 6	0.21717171717171718 0.002573634543894767
2 23 120 6	1.0 9.53197979220284e-05
2 24 89 6	0.00023655574830468382 0.00047659898961014205
2 33 67 6	1.0 0.00028595939376608524
2 35 100 6	0.0005717552887364208 0.008102182823372415
2 35 103 6	0.01222118338453319 0.0052425888857115625
2 36 101 6	0.0007696318180689689 0.0017157563625965113
2 37 102 6	0.00017332524482190832 0.0001906395958440568
2 37 111 6	0.0020373514431239388 9.53197979220284e-05
2 39 104 6	0.004482071713147411 0.0020017157563625965
2 39 105 6	0.0034223134839151265 0.002287675150128682
2 39 126 6	0.11872017962391243 0.01725288342388714
2 40 77 6	0.002611768320786603 0.0013344771709083976
2 40 85 6	0.024242424242424242 0.00047659898961014205
2 40 86 6	0.17780429594272076 0.0014297969688304261
2 40 104 6	0.0029914857712663957 0.0029549137355828806
2 40 105 6	0.0021759011068714328 0.00533790868363359
2 40 126 6	0.11360642928898315 0.07311028500619579
2 41 106 6	0.0005921879532050662 0.0005719187875321705
2 43 81 6	0.011235955056179775 0.0001906395958440568
2 43 108 6	0.02 0.00028595939376608524
2 44 67 6	0.20454545454545456 0.0014297969688304261
2 45 67 6	0.7647058823529411 0.00047659898961014205
2 45 110 6	0.0005180273518441774 0.00047659898961014205
2 46 102 6	0.0012983640612827837 0.0001906395958440568
2 46 111 6	0.003641770296012981 0.08416738156515108
2 46 111 37	1.8419587143373769e-06 9.53197979220284e-05
2 49 114 6	0.05492730210016155 0.005623868077399676
2 50 6	0.025210084033613446 0.00028595939376608524
2 50 67 6	0.1362264150943396 0.01658564483843294
2 50 69 6	0.23170731707317074 0.002573634543894767
2 50 115 6	0.00980392156862745 9.53197979220284e-05
2 50 120 6	0.4444444444444444 0.0007625583833762272
2 51 116 6	0.0012137261392474899 0.002764274139738824
2 53 126 6	0.11475409836065574 0.0006672385854541988
2 57 86 6	0.13707865168539327 0.0007625583833762272
2 57 126 6	0.11690647482014388 0.0019063959584405682
2 58 67 6	0.15384615384615385 0.005623868077399676
2 58 69 6	0.21428571428571427 0.0001906395958440568
2 62 127 6	0.002472187886279357 0.0001906395958440568
2 63 128 6	0.0013145539906103286 9.53197979220284e-05
2 67 2 6	0.0341796875 0.02926317796206272
2 67 4 6	0.1703125 0.007816223429606329
2 67 6	0.380285679601829 0.3135068153655514
2 67 55 6	0.029411764705882353 9.53197979220284e-05
2 69 2 6	0.09104938271604938 0.0031455533314269373
2 69 4 6	0.3277310924369748 0.0012391573729863693
2 69 6	0.36601746138347885 0.02802402058907635
2 73 67 6	0.13689253935660506 0.01143837575064341
2 73 69 6	0.25 0.0010485177771423124
2 88 6	0.009615384615384616 9.53197979220284e-05
2 88 8 6	0.13043478260869565 0.00028595939376608524
2 88 67 6	0.16190807799442897 0.021923553522066534
2 88 69 6	0.2446236559139785 0.004956629491945477
2 88 120 6	0.3783783783783784 0.0013344771709083976
2 98 67 6	1.0 9.53197979220284e-05
2 109 67 6	0.1261682242990654 0.0032408731293489656
2 109 69 6	0.07142857142857142 0.0001906395958440568
2 110 67 6	0.6842105263157895 0.0003812791916881136
2 115 50 6	0.010752688172043012 0.0003812791916881136
2 115 67 6	0.1300900900900901 0.018873319988561624
2 115 69 6	0.1963470319634703 0.003050233533504909
2 115 115 6	0.006329113924050633 9.53197979220284e-05
2 115 120 6	0.4444444444444444 0.0007625583833762272
2 120 6	0.16981132075471697 0.0007625583833762272
2 123 67 6	0.14186851211072665 0.005051949289867506
2 123 69 6	0.2009132420091324 0.003050233533504909
4 1 66 6	0.0018066847335140017 9.53197979220284e-05
4 6	0.1875 0.0008578781812982557
4 6 71 6	0.2136342909256726 0.0024783147459727386
4 8 67 6	0.19767441860465115 0.001143837575064341
4 12 126 6	0.10124610591900311 0.0020017157563625965
4 20 77 6	0.022222222222222223 0.00028595939376608524
4 20 85 6	0.002925877763328999 0.0014297969688304261
4 20 86 6	0.09317923846868228 0.011629015346487465
4 20 126 6	0.09744094488188976 0.007720903631684301
4 23 67 6	0.3238434163701068 0.00419407110856925
4 35 100 6	0.0005974905397331209 0.0014297969688304261
4 35 103 6	0.00982640026203734 0.0007625583833762272
4 36 101 6	0.001092896174863388 0.00047659898961014205
4 39 104 6	0.007434944237918215 0.0006672385854541988
4 39 105 6	0.0071174377224199285 0.00047659898961014205
4 39 126 6	0.06779661016949153 0.0023829949480507102
4 40 104 6	0.0032258064516129032 0.0001906395958440568
4 40 105 6	0.0015789473684210526 0.0001906395958440568
4 40 126 6	0.09917028842354801 0.004384710704413306
4 44 67 6	0.125 9.53197979220284e-05
4 45 110 6	0.0012505210504376823 0.0001906395958440568
4 46 111 6	0.0024765889045675524 0.012010294538175578
4 49 114 6	0.02857142857142857 9.53197979220284e-05
4 50 67 6	0.25748502994011974 0.0014297969688304261
4 58 67 6	0.1752988047808765 0.0018110761605185397
4 58 69 6	0.2 9.53197979220284e-05
4 67 2 6	0.08427876823338736 0.0014297969688304261
4 67 4 6	0.29310344827586204 0.0006672385854541988
4 67 6	0.35320803629293585 0.02764274139738824
4 69 2 6	0.04455051710421639 0.003050233533504909
4 69 4 6	0.20945945945945946 0.0008578781812982557
4 69 6	0.47873471557682085 0.09817939185968926
4 69 17	0.06666666666666667 9.53197979220284e-05
4 73 67 6	0.19480519480519481 0.0005719187875321705
