1 66 15	0.76 0.014161220043572984
1 66 20 15	0.510548523206751 0.010893246187363835
1 66 35	0.4338235294117647 0.00980392156862745
1 66 83 15	0.05134474327628362 0.008714596949891068
14 20 85 35	0.9826689774696707 0.004357298474945534
14 35	0.6 0.0032679738562091504
14 35 100 35	0.7229795520934762 0.014161220043572984
14 40 105 35	0.9166666666666666 0.002178649237472767
14 46 111 35	0.11623467952581877 0.014161220043572984
14 79 30 15	0.6666666666666666 0.002178649237472767
14 79 116 35	0.3769230769230769 0.0010893246187363835
15	1.0 1.0
15 80 14 35	0.03770949720670391 0.04793028322440087
15 80 15	0.9547304072443737 1.0
15 80 18 15	0.33166027346408467 0.7919389978213508
15 80 27 15	0.9873938892333111 0.8518518518518519
15 80 28 15	1.0 0.5185185185185185
15 80 30 15	0.5095725034654102 0.8627450980392157
15 80 30 56	1.3526308670363858e-05 0.0032679738562091504
15 80 33 15	1.0 0.7080610021786492
15 80 34 15	0.8912087912087913 0.818082788671024
15 80 37	0.3333333333333333 0.014161220043572984
15 80 45 15	1.0 0.5185185185185185
15 80 51 15	0.20705521472392638 0.046840958605664486
15 80 52 15	0.9342991913746631 0.7810457516339869
15 80 56	0.002559726962457338 0.0032679738562091504
15 80 66 35	0.96 0.037037037037037035
15 80 77 35	0.7083922853525951 0.8104575163398693
15 80 83 15	0.33143362559606215 0.7919389978213508
15 80 85 35	0.7551666483365794 0.9466230936819172
15 80 86 35	0.7659574468085106 0.037037037037037035
15 80 86 38	0.9596 0.7374727668845316
15 80 92 15	0.9894795352134227 0.8518518518518519
15 80 93 15	1.0 0.5185185185185185
15 80 93 38	1.0 0.1895424836601307
15 80 95 15	0.7102395303834153 0.8572984749455338
15 80 95 35	0.884 0.05337690631808279
15 80 95 38	0.6463254593175853 0.7145969498910676
15 80 98 15	1.0 0.7080610021786492
15 80 99 15	0.7263770712046574 0.8191721132897604
15 80 99 56	0.006263048016701462 0.0032679738562091504
15 80 102 35	1.0 0.5185185185185185
15 80 104 35	0.8852483649841865 0.8442265795206971
15 80 105 35	0.9368664437245271 0.8681917211328976
15 80 110 15	1.0 0.5185185185185185
15 80 116 15	0.2854122621564482 0.05337690631808279
15 80 116 35	0.3933810375670841 0.06100217864923747
15 80 117 15	0.9321008403361345 0.7843137254901961
15 80 118 35	0.46078431372549017 0.05119825708061002
15 80 122 35	0.6695804195804196 0.7113289760348583
15 80 126 38	0.9622641509433962 0.04793028322440087
15 85 20	1.0 0.5185185185185185
15 85 35	1.0 0.5185185185185185
15 87 22	1.0 0.006535947712418301
15 100 8 35	0.8820553588205536 0.7407407407407407
15 100 12 15	0.5203194224142647 0.8257080610021786
15 100 20	0.0005435185978133653 0.5185185185185185
15 100 20 15	0.5621503031785298 0.94880174291939
15 100 20 56	0.00011773293461112812 0.0032679738562091504
15 100 21 15	0.3850267379679144 0.05228758169934641
15 100 23 35	0.9315956882841492 0.7636165577342048
15 100 30 15	0.4878587196467991 0.054466230936819175
15 100 35	0.9438569162479831 0.9989106753812637
15 100 37	0.0037328782776956714 0.5272331154684096
15 100 39 15	0.7860088056467958 0.8376906318082789
15 100 40 15	0.8606727549832591 0.869281045751634
15 100 43 15	0.9010791366906474 0.5708061002178649
15 100 43 35	1.0 0.5185185185185185
15 100 43 38	0.9956521739130435 0.16775599128540306
15 100 44 35	0.41830688375927455 0.7265795206971678
15 100 50 35	0.6945303440278314 0.7254901960784313
15 100 51 15	0.2533410138248848 0.046840958605664486
15 100 53 15	0.9591836734693877 0.037037037037037035
15 100 57 15	0.31054054054054053 0.710239651416122
15 100 58 35	0.9356587213389881 0.7810457516339869
15 100 67 38	1.0 0.002178649237472767
15 100 73 35	0.8820553588205536 0.7407407407407407
15 100 79 38	0.5697463768115942 0.6840958605664488
15 100 88 35	0.9315956882841492 0.7636165577342048
15 100 96 38	1.0 0.03376906318082789
15 100 108 35	1.0 0.5185185185185185
15 100 109 35	0.35476119593416405 0.7287581699346405
15 100 115 35	0.6945303440278314 0.7254901960784313
15 100 123 35	0.915051235416759 0.7810457516339869
15 102 15	1.0 0.014161220043572984
15 102 35	0.9441233140655106 0.5272331154684096
15 102 37	0.9387040280210157 0.5773420479302832
15 102 40 15	0.2 0.008714596949891068
15 103 2 35	1.0 0.002178649237472767
15 103 14 35	0.9501510574018127 0.6840958605664488
15 103 21 15	0.9634538152610441 0.761437908496732
15 103 28 15	1.0 0.1895424836601307
15 103 30 15	0.8113673805601318 0.7352941176470589
15 103 31 35	1.0 0.03376906318082789
15 103 38	0.8449034879783272 0.8278867102396514
15 103 61 15	0.6986301369863014 0.05555555555555555
15 103 108 35	0.9308943089430894 0.16775599128540306
15 116 51	1.0 0.007625272331154684
15 121 15	1.0 0.0032679738562091504
15 121 56	1.0 0.0032679738562091504
15 121 85 35	1.0 0.0032679738562091504
15 121 95 15	1.0 0.0032679738562091504
18 15	0.14498644986449866 0.0457516339869281
18 15 80 15	0.19930323299888517 0.06427015250544663
18 15 100 35	0.17919572479638282 0.07080610021786492
18 18 15	0.11685068551444205 0.08278867102396514
18 18 18 15	0.23810391291793098 0.08278867102396514
18 18 18 56	0.012547511857729537 0.0010893246187363835
18 18 27 15	0.17049874175459667 0.07952069716775599
18 18 27 56	0.0036669842783050165 0.0010893246187363835
18 18 30 15	0.008740827321805908 0.007625272331154684
18 18 34 15	0.14913187333661618 0.037037037037037035
18 18 56	0.012343747504920058 0.0010893246187363835
18 18 77 35	0.20244751148459902 0.04793028322440087
18 18 83 15	0.23484455017614878 0.08278867102396514
18 18 83 56	0.01679932693382176 0.0010893246187363835
18 18 85 35	0.2630681328960057 0.08278867102396514
18 18 86 38	0.13988620597951804 0.026143790849673203
18 18 92 15	0.1718760317613623 0.07952069716775599
18 18 95 15	0.0399064182168839 0.054466230936819175
18 18 104 35	0.08757306124954195 0.049019607843137254
18 18 105 35	0.09000572648659247 0.03159041394335512
18 18 117 15	0.5340270084045703 0.023965141612200435
18 19 84 15	0.17217886783104175 0.037037037037037035
18 27 15	0.10644437319653735 0.06971677559912855
18 27 18 15	0.06996533331447222 0.0784313725490196
18 27 18 56	0.07401179938977176 0.0010893246187363835
18 27 27 15	0.08181871828160038 0.07298474945533769
18 27 83 15	0.06945292100219398 0.0784313725490196
18 27 85 22	8.130742336775348e-05 0.0010893246187363835
18 27 85 35	0.071368758523339 0.07516339869281045
18 27 92 15	0.07661324877881566 0.07407407407407407
18 27 95 15	0.09676226077137239 0.042483660130718956
18 30 15	0.14473684210526316 0.0054466230936819175
18 30 30 15	0.24444444444444444 0.0054466230936819175
18 34 15	0.18226600985221675 0.02287581699346405
18 34 30 15	0.10730593607305935 0.0392156862745098
18 34 77 35	0.06407165001722356 0.037037037037037035
18 34 99 15	0.11147540983606558 0.042483660130718956
18 34 104 35	0.06838389620301469 0.05228758169934641
18 34 105 35	0.0708594881699662 0.04139433551198257
18 45 108 35	0.05572574762946754 0.046840958605664486
18 45 110 15	0.0932561974952327 0.08278867102396514
18 51 116 35	0.08674101610904585 0.006535947712418301
18 77 20 15	0.0815347721822542 0.03594771241830065
18 77 35	0.07073170731707316 0.032679738562091505
18 83 15	0.10965413448716509 0.08387799564270153
18 83 18 15	0.21600748531691374 0.08278867102396514
18 83 18 56	0.016468943309758094 0.0010893246187363835
18 83 27 15	0.20477018268675343 0.07952069716775599
18 83 34 15	0.1411730378382116 0.037037037037037035
18 83 56	0.012343084756487715 0.0010893246187363835
18 83 77 35	0.1929330702725811 0.04793028322440087
18 83 83 15	0.2147430025080305 0.08278867102396514
18 83 83 56	0.0224405819319253 0.0010893246187363835
18 83 85 35	0.24567311814497853 0.08278867102396514
18 83 86 38	0.13266695205844575 0.026143790849673203
18 83 92 15	0.2135771061484166 0.07952069716775599
18 83 95 15	0.03955783339560496 0.05664488017429194
18 83 95 37	0.001557401758802822 0.007625272331154684
18 83 104 35	0.0814586396442315 0.049019607843137254
18 83 117 15	0.5073607272987074 0.026143790849673203
18 85 20 15	0.05864506132791928 0.07080610021786492
18 85 22	0.00030303030303030303 0.0010893246187363835
18 85 35	0.07421858785438545 0.05991285403050109
18 85 39 15	0.07292341883507732 0.04357298474945534
18 85 40 15	0.0806959975821424 0.04793028322440087
18 86 2 35	0.08527643349464731 0.03594771241830065
18 86 21 15	0.0696686106966861 0.05664488017429194
18 86 38	0.05732484076433121 0.013071895424836602
18 86 61 15	0.08468626590609916 0.0457516339869281
18 92 15	0.10909631391200951 0.06971677559912855
18 92 18 15	0.08985461653453937 0.0784313725490196
18 92 27 15	0.0916139625395281 0.07298474945533769
18 92 77 35	0.0778255768478686 0.030501089324618737
18 92 83 15	0.08674444837530931 0.0784313725490196
18 92 85 35	0.07145100872474261 0.07516339869281045
18 92 92 15	0.08625053413535812 0.07298474945533769
18 92 95 15	0.097656326739092 0.042483660130718956
18 95 15	0.10867364157948026 0.034858387799564274
18 95 28 15	0.05238095238095238 0.010893246187363835
18 95 30 15	0.08786780383795309 0.06427015250544663
18 95 37	0.02247191011235955 0.004357298474945534
18 95 91 35	0.17616580310880828 0.007625272331154684
18 95 99 15	0.09194630872483221 0.0392156862745098
18 95 104 35	0.06526275848985012 0.05119825708061002
18 95 105 35	0.07052154195011338 0.046840958605664486
18 95 108 35	0.05251396648044693 0.023965141612200435
18 95 110 35	0.07150686698046296 0.044662309368191724
18 104 35	0.05276073619631902 0.0196078431372549
18 105 35	0.07803468208092486 0.016339869281045753
18 105 40 15	0.13241723922548407 0.03594771241830065
18 117 15	0.058823529411764705 0.008714596949891068
18 117 105 35	0.04891304347826087 0.029411764705882353
18 123 35	0.0625 0.0010893246187363835
18 126 21 15	0.07569011576135352 0.04030501089324619
19 84 15	0.36707663197729423 0.0457516339869281
19 84 18 15	0.15172677531329057 0.037037037037037035
19 84 27 15	0.4071381361533377 0.03594771241830065
19 84 30 15	0.22780569514237856 0.032679738562091505
19 84 77 35	0.10358565737051793 0.027233115468409588
19 84 83 15	0.1500555352424579 0.037037037037037035
19 84 85 35	0.10904914193054367 0.0392156862745098
19 84 92 15	0.41102106969205837 0.03594771241830065
19 84 95 15	0.2700228832951945 0.034858387799564274
19 84 105 35	0.041146216017634095 0.023965141612200435
19 121 15	0.047619047619047616 0.004357298474945534
19 121 18 15	0.15922619047619047 0.030501089324618737
19 121 83 15	0.15922619047619047 0.030501089324618737
27 1 66 35	0.2032442748091603 0.00980392156862745
27 15	0.9140866873065016 0.5130718954248366
27 15 80 15	0.9426212209148948 0.5392156862745098
27 15 85 20	0.9868891537544696 0.36056644880174293
27 15 85 35	0.9868891537544696 0.36056644880174293
27 15 100 20	0.0005295763261473834 0.36056644880174293
27 15 100 35	0.9301621070768938 0.55119825708061
27 15 100 37	0.003786933944080365 0.36492374727668847
27 15 102 35	0.9800469483568075 0.36492374727668847
