80	1.0 1.0
80 1 66	0.037848605577689244 0.014161220043572984
80 1 66 18	0.02402022756005057 0.015250544662309368
80 1 66 20	0.39933993399339934 0.02505446623093682
80 1 66 40	0.10429447852760736 0.0054466230936819175
80 14 20	0.5625 0.00980392156862745
80 14 20 18	0.039634146341463415 0.02832244008714597
80 14 35 80	0.18620689655172415 0.058823529411764705
80 14 45	0.6 0.0032679738562091504
80 14 79	1.0 0.016339869281045753
80 15 80	0.9547304072443737 1.0
80 15 80 18	0.03842637133952537 0.06209150326797386
80 15 80 27	0.8126041937652614 0.5588235294117647
80 15 80 30	0.9523151347615757 0.058823529411764705
80 15 80 33	0.2684787792083929 0.0054466230936819175
80 15 80 34	0.1499075785582255 0.018518518518518517
80 15 80 52	0.011547719190118851 0.02832244008714597
80 15 80 83	0.037529697920338584 0.06427015250544663
80 15 80 92	0.8253183999834227 0.5392156862745098
80 15 80 95	0.26477908037698034 0.6808278867102396
80 15 80 98	0.3866758241758242 0.0054466230936819175
80 15 80 99	0.43461950696677387 0.03376906318082789
80 15 80 116	0.00663716814159292 0.006535947712418301
80 15 80 117	0.032587874443256205 0.026143790849673203
80 15 100 1	0.0005787665038885874 0.0032679738562091504
80 15 100 12	0.10701870830567774 0.04139433551198257
80 15 100 20	0.5748824678985811 0.144880174291939
80 15 100 21	0.4721311475409836 0.0032679738562091504
80 15 100 30	0.6616766467065869 0.0032679738562091504
80 15 100 39	0.12310528981490972 0.09368191721132897
80 15 100 40	0.09686618921720574 0.1644880174291939
80 15 100 51	0.008235554074146202 0.0010893246187363835
80 15 100 57	0.004423892871718658 0.011982570806100218
80 15 100 79	0.011852502194907815 0.015250544662309368
80 15 102	0.021922428330522766 0.0010893246187363835
80 15 103 21	0.7801626016260162 0.015250544662309368
80 15 103 28	0.3205298013245033 0.004357298474945534
80 15 103 30	0.87322695035461 0.017429193899782137
80 15 103 61	0.4112903225806452 0.0032679738562091504
80 15 121	1.0 0.0010893246187363835
80 15 121 95	1.0 0.0010893246187363835
80 18	0.20008133387555918 0.044662309368191724
80 18 1 66	0.0020933348219269845 0.008714596949891068
80 18 15 80	0.31415684102239455 0.7919389978213508
80 18 18	0.05366416320060206 0.08169934640522876
80 18 18 18	0.09834739375433828 0.08061002178649238
80 18 18 27	0.009069125963150456 0.0718954248366013
80 18 18 30	0.0032460428273078604 0.0010893246187363835
80 18 18 34	0.0410970003682395 0.011982570806100218
80 18 18 83	0.08710805722617739 0.08278867102396514
80 18 18 92	0.011192243529318543 0.07407407407407407
80 18 18 95	0.006924024369681275 0.6612200435729847
80 18 18 117	0.02218411007892594 0.006535947712418301
80 18 19 84	0.1795838995361042 0.037037037037037035
80 18 19 121	0.04645161290322581 0.0032679738562091504
80 18 27	0.1542971763616726 0.0664488017429194
80 18 27 18	0.11463164768686736 0.07625272331154684
80 18 27 27	0.07128000239420602 0.07516339869281045
80 18 27 83	0.11342212522878727 0.0784313725490196
80 18 27 92	0.08635554647838012 0.07952069716775599
80 18 27 95	0.013424768862401034 0.6241830065359477
80 18 27 110	0.8687214611872146 0.018518518518518517
80 18 30	0.08783783783783784 0.0010893246187363835
80 18 33 98	0.2144778674492541 0.027233115468409588
80 18 34	0.10292580982236155 0.007625272331154684
80 18 34 52	0.02386934673366834 0.010893246187363835
80 18 45 83	0.06494960806270997 0.0054466230936819175
80 18 45 110	0.08366556756539992 0.08496732026143791
80 18 77 12	0.05385305808436979 0.023965141612200435
80 18 77 20	0.1268357810413885 0.020697167755991286
80 18 83	0.05360133617718182 0.08387799564270153
80 18 83 18	0.08580442162092804 0.08061002178649238
80 18 83 27	0.07400753768272732 0.0718954248366013
80 18 83 34	0.040154505699881674 0.011982570806100218
80 18 83 83	0.08181253610294009 0.08278867102396514
80 18 83 92	0.07977302473377117 0.07407407407407407
80 18 83 95	0.0074071602296781145 0.6612200435729847
80 18 83 117	0.025442898980333296 0.006535947712418301
80 18 85 20	0.05184267533170864 0.0860566448801743
80 18 85 39	0.02184543312268684 0.08278867102396514
80 18 85 40	0.01730424729065291 0.1568627450980392
80 18 86 21	0.023434355052044397 0.0392156862745098
80 18 86 61	0.03457999406352033 0.029411764705882353
80 18 92	0.16205236232320192 0.06862745098039216
80 18 92 18	0.125381899905206 0.07625272331154684
80 18 92 27	0.10679473188154175 0.07516339869281045
80 18 92 83	0.12433450772366621 0.0784313725490196
80 18 92 92	0.1280262023789002 0.0784313725490196
80 18 92 95	0.013045607460716263 0.6241830065359477
80 18 92 117	0.09087325054208555 0.00980392156862745
80 18 95	0.013369020657470318 0.6100217864923747
80 18 95 21	0.04024468770122344 0.010893246187363835
80 18 95 30	0.0736399061336089 0.07734204793028322
80 18 95 52	0.006057044704606066 0.04139433551198257
80 18 95 99	0.11650485436893204 0.044662309368191724
80 18 104 12	0.05263157894736842 0.0010893246187363835
80 18 104 39	0.2536172980003252 0.017429193899782137
80 18 105 40	0.1628495152451876 0.020697167755991286
80 18 110	0.03669724770642202 0.004357298474945534
80 18 110 18	0.054048370136698214 0.008714596949891068
80 18 110 83	0.05319809563237425 0.008714596949891068
80 18 117 52	0.027697634160415464 0.013071895424836602
80 18 126 21	0.03699613473219216 0.020697167755991286
80 18 126 61	0.05162954021727203 0.02287581699346405
80 19 84	0.17684594348222424 0.0457516339869281
80 19 84 18	0.10806513053569688 0.037037037037037035
80 19 84 27	0.16041666666666668 0.030501089324618737
80 19 84 30	0.1295143212951432 0.010893246187363835
80 19 84 83	0.10467956481472059 0.037037037037037035
80 19 84 92	0.17902018918537344 0.03159041394335512
80 19 84 95	0.018968011573701978 0.03159041394335512
80 19 121	0.10526315789473684 0.0032679738562091504
80 19 121 27	0.017857142857142856 0.0010893246187363835
80 27	0.8457642725598526 0.5326797385620915
80 27 15 80	0.9897597798781624 0.8518518518518519
80 27 18	0.16033875479125662 0.06753812636165578
80 27 18 18	0.0473256801470515 0.07734204793028322
80 27 18 27	0.10087925791141254 0.06535947712418301
80 27 18 30	0.05177865612648221 0.0032679738562091504
80 27 18 52	0.0004182350480970305 0.0010893246187363835
80 27 18 83	0.04692437438085012 0.07952069716775599
80 27 18 92	0.10977397061238929 0.06753812636165578
80 27 18 95	0.06111141750139728 0.6241830065359477
80 27 18 117	0.046540284360189574 0.006535947712418301
80 27 19 84	0.1566686080372743 0.03594771241830065
80 27 19 121	0.10204081632653061 0.0032679738562091504
80 27 27	0.8317235531057876 0.6122004357298475
80 27 27 18	0.03901533130475733 0.07080610021786492
80 27 27 27	0.8497181810443519 0.5827886710239651
80 27 27 30	0.9914860967312528 0.011982570806100218
80 27 27 34	0.07185382878259085 0.014161220043572984
80 27 27 52	0.0028991596638655464 0.0032679738562091504
80 27 27 83	0.03860731096052843 0.07298474945533769
80 27 27 92	0.8409711950977703 0.5664488017429193
80 27 27 95	0.1971754685607229 0.664488017429194
80 27 27 117	0.1399492748910711 0.018518518518518517
80 27 30	0.9888663967611336 0.006535947712418301
80 27 30 34	0.6809145129224652 0.0054466230936819175
80 27 30 92	0.45696316863479747 0.020697167755991286
80 27 30 95	0.2773872990535026 0.6350762527233116
80 27 33 98	0.2764227642276423 0.044662309368191724
80 27 34	0.13307984790874525 0.00980392156862745
80 27 34 30	0.19501133786848074 0.034858387799564274
80 27 34 52	0.1271186440677966 0.013071895424836602
80 27 34 99	0.16876971608832808 0.04793028322440087
80 27 45 110	0.06618125891954055 0.08061002178649238
80 27 52 92	0.7611940298507462 0.010893246187363835
80 27 52 117	0.75040770213184 0.39106753812636164
80 27 77 12	0.33497133497133497 0.042483660130718956
80 27 77 40	0.48520710059171596 0.015250544662309368
80 27 83	0.157459266802444 0.06971677559912855
80 27 83 18	0.030908212398781547 0.07734204793028322
80 27 83 27	0.12056474366500157 0.06535947712418301
80 27 83 30	0.05169692186266772 0.0032679738562091504
80 27 83 52	0.0004192872117400419 0.0010893246187363835
80 27 83 83	0.03207891751317733 0.07952069716775599
80 27 83 92	0.13537668311704137 0.06753812636165578
80 27 83 95	0.06100921313983904 0.6241830065359477
80 27 85 12	0.10408432147562582 0.0392156862745098
80 27 85 20	0.20667050153575653 0.0860566448801743
80 27 85 39	0.13913635589854167 0.07298474945533769
80 27 85 40	0.10581603894440174 0.14270152505446623
80 27 86 21	0.1270870602265951 0.027233115468409588
80 27 86 61	0.10024524831391785 0.0196078431372549
80 27 92	0.8281509068183558 0.6034858387799564
80 27 92 18	0.05307170080611505 0.0718954248366013
80 27 92 27	0.8244861216981607 0.5904139433551199
80 27 92 30	0.9933470526879599 0.018518518518518517
80 27 92 34	0.04946764946764947 0.015250544662309368
80 27 92 52	0.0029557346909913733 0.0054466230936819175
80 27 92 83	0.05160161360841421 0.07407407407407407
80 27 92 92	0.843940133743764 0.565359477124183
80 27 92 95	0.1218318171389398 0.664488017429194
80 27 92 117	0.14740668089770956 0.018518518518518517
80 27 95	0.16369072336184703 0.6100217864923747
80 27 95 30	0.4867915745374142 0.08278867102396514
80 27 95 52	0.08071701315231226 0.05010893246187364
80 27 95 92	0.394876997210246 0.46296296296296297
80 27 95 99	0.18580645161290324 0.044662309368191724
80 27 99	0.30303030303030304 0.0032679738562091504
80 27 104 20	0.8402220851326342 0.020697167755991286
80 27 104 39	0.8738647830474269 0.05773420479302832
80 27 105 12	0.601063829787234 0.0196078431372549
80 27 105 20	0.89506548888212 0.0196078431372549
80 27 105 40	0.8478835978835979 0.11655773420479303
80 27 110 18	0.09857456140350877 0.02287581699346405
80 27 110 45	0.007936507936507936 0.002178649237472767
80 27 110 83	0.09881292591778412 0.02287581699346405
80 27 117	0.0710431654676259 0.010893246187363835
80 27 117 30	0.8028643639427128 0.026143790849673203
80 27 117 52	0.3618867924528302 0.030501089324618737
80 27 117 99	0.25 0.014161220043572984
80 27 118 30	0.9666666666666667 0.004357298474945534
80 27 118 53	0.8794326241134752 0.007625272331154684
80 27 126 21	0.18440463645943098 0.016339869281045753
80 27 126 61	0.2053996823716252 0.02505446623093682
80 30	0.9456681350954479 0.054466230936819175
80 30 15 80	0.7102395303834153 0.8572984749455338
80 30 15 102	0.020442930153321975 0.0010893246187363835
80 30 18	0.05711484695544824 0.034858387799564274
80 30 18 18	0.034946142993491816 0.054466230936819175
80 30 18 27	0.04629778996612357 0.042483660130718956
80 30 18 83	0.039056030270564326 0.05664488017429194
80 30 18 92	0.047525458987445875 0.044662309368191724
80 30 18 95	0.033284192136240426 0.12527233115468409
