2 51 116	0.001226993865030675 0.0136986301369863
2 67 31	1.0 0.0410958904109589
6 71	0.0010167298271559293 0.1506849315068493
6 71 2	0.00018656716417910448 0.0136986301369863
6 71 4	0.002967359050445104 0.0136986301369863
6 71 6 71	0.0009898695109262384 0.2465753424657534
6 71 11 108	0.21951219512195122 0.0273972602739726
6 71 16 81	0.0001497607768643246 0.136986301369863
6 71 16 108	2.3518344308560677e-05 0.0136986301369863
6 71 20 85	1.2235873378287933e-06 0.0136986301369863
6 71 21 85	6.8760657901974805e-06 0.0273972602739726
6 71 22 71	0.011787819253438114 0.0821917808219178
6 71 31	0.30685920577617326 0.9041095890410958
6 71 35 100	8.736466169326237e-06 0.2328767123287671
6 71 36 101	0.00010753150673147232 0.1780821917808219
6 71 37 71	0.0030543677458766036 0.0821917808219178
6 71 37 102	0.0012848882861017917 0.0821917808219178
6 71 38 100	0.0012880716002369342 0.3287671232876712
6 71 39 104	4.1634053324895496e-06 0.0136986301369863
6 71 40 105	6.036261468896791e-05 0.0821917808219178
6 71 43 108	0.0011729746637472631 0.0821917808219178
6 71 44	0.0005899705014749262 0.0136986301369863
6 71 45 110	0.0001461742396937149 0.0684931506849315
6 71 46 111	3.556604810153434e-05 0.3287671232876712
6 71 49 114	0.0017587939698492463 0.0821917808219178
6 71 51 116	2.5539413700192824e-05 0.0684931506849315
6 71 55	0.14705882352941177 0.0958904109589041
6 71 61 104	0.00010967557963543837 0.0684931506849315
6 71 61 105	1.5784572159171624e-05 0.0136986301369863
6 71 96 31	0.20512820512820512 0.1506849315068493
6 71 96 55	0.0625 0.0136986301369863
6 71 109 44	0.0007898894154818325 0.0821917808219178
6 71 120 31	0.0625 0.0136986301369863
6 71 120 55	0.01818181818181818 0.0136986301369863
6 102 6 71	0.008968609865470852 0.0821917808219178
6 102 37 71	0.001444564824846515 0.1643835616438356
6 102 45 110	0.0002417064475194876 0.0547945205479452
6 102 46 111	0.00010559696936697917 0.1643835616438356
6 111 46 71	0.0013333333333333333 0.136986301369863
11 76 11 108	1.0 0.0136986301369863
11 76 31	0.8461538461538461 0.0684931506849315
11 76 38 100	0.0035714285714285713 0.0136986301369863
11 108	1.0 0.0136986301369863
11 108 43 108	1.0 0.0136986301369863
11 108 46 111	0.018518518518518517 0.0136986301369863
11 108 96 31	1.0 0.0136986301369863
21 15 80 104	0.01098901098901099 0.0136986301369863
21 15 80 105	0.006779661016949152 0.0136986301369863
21 15 100	0.0022675736961451248 0.0136986301369863
21 18 18 85	0.0001422527596369488 0.0273972602739726
21 18 83 85	0.00014176584950833986 0.0273972602739726
21 27 92 85	0.0005025125628140704 0.0136986301369863
21 30 34 105	0.0023584905660377358 0.0136986301369863
21 30 86 31	1.0 0.0136986301369863
21 30 95 105	0.0018034265103697023 0.0136986301369863
21 34 30 85	0.0005803830528148578 0.0136986301369863
21 34 99 85	0.00011563367252543941 0.0136986301369863
21 34 104	0.0013717421124828531 0.0136986301369863
21 34 105	0.003271537622682661 0.0273972602739726
21 34 126 31	0.3333333333333333 0.0136986301369863
21 45 110 85	8.329700658324008e-05 0.0273972602739726
21 52 95 85	0.0041841004184100415 0.0136986301369863
21 52 95 105	0.0017421602787456446 0.0136986301369863
21 52 117 85	0.004524886877828055 0.0136986301369863
21 77 39 105	0.0018814675446848542 0.0136986301369863
21 77 40 105	0.0013003901170351106 0.0136986301369863
21 77 46 111	2.6580663453359796e-05 0.0136986301369863
21 83 18 85	0.00015046351557990043 0.0273972602739726
21 83 83 85	0.0001502818243906409 0.0273972602739726
21 85	0.001996007984031936 0.0273972602739726
21 85 6 71	5.804841237592152e-05 0.0136986301369863
21 85 12 85	0.0014829461196243204 0.0136986301369863
21 85 12 104	0.002232142857142857 0.0136986301369863
21 85 12 105	0.0031618281115263006 0.0273972602739726
21 85 16 81	0.002467003823855927 0.0136986301369863
21 85 20 85	0.0008533594450646998 0.0273972602739726
21 85 35 100	0.00033309540804187486 0.0136986301369863
21 85 36 101	0.0006122595980695815 0.0273972602739726
21 85 39 85	0.0009891196834817012 0.0273972602739726
21 85 39 104	0.0006593510102199406 0.0136986301369863
