0 81 20	0.9285714285714286 0.00015144631228229593
1	0.002066115702479339 7.572315614114796e-05
1 15 100 20	0.5071428571428571 0.00015144631228229593
1 18 18	0.03130474945445572 0.00015144631228229593
1 18 18 18	0.0515464989376953 0.00015144631228229593
1 18 18 83	0.048566228587894965 0.00015144631228229593
1 18 45 110	0.009611672187112638 0.00015144631228229593
1 18 83 18	0.05201515018865358 0.00015144631228229593
1 18 83 27	0.02919414818849306 0.00022716946842344388
1 18 85 20	0.012407780013413815 0.00022716946842344388
1 18 92 18	0.03306175317963715 7.572315614114796e-05
1 27 45 110	0.01568281938325991 0.00015144631228229593
1 27 83	0.036885245901639344 0.00015144631228229593
1 45 110 18	0.02293251368460765 0.00015144631228229593
1 45 110 27	0.037433519705441155 0.00022716946842344388
1 56 66 20	0.7692307692307693 0.00015144631228229593
1 66	0.003916303009958599 0.007950931394820535
1 66 1 66	0.0012780144378242086 0.008480993487808572
1 66 1 121	0.615263261684086 0.0034075420263516582
1 66 8 20	0.6190878378378378 0.012721490231712857
1 66 12	0.035277680754453374 0.007572315614114796
1 66 12 30	0.21680810292909938 0.01567469332121763
1 66 12 52	0.12582781456953643 0.003558988338633954
1 66 12 99	0.1830564784053156 0.014538845979100408
1 66 18	0.009864214820678317 0.011964258670301379
1 66 18 18	0.024971874719426714 0.019082235347569285
1 66 18 27	0.011604374784705477 0.0203695290019688
1 66 18 56	0.0040766408479412965 0.0003786157807057398
1 66 18 83	0.02488563495657481 0.01900651219142814
1 66 20	0.6120145841773251 0.043010752688172046
1 66 20 18	0.01064843870676855 0.01900651219142814
1 66 20 27	0.019142254914612637 0.010222626079054975
1 66 20 28	0.0380952380952381 7.572315614114796e-05
1 66 20 30	0.18120805369127516 0.006057852491291837
1 66 20 33	0.0036101083032490976 0.00015144631228229593
1 66 20 52	0.08902077151335312 0.001968802059669847
1 66 20 83	0.010603052057153173 0.01900651219142814
1 66 20 117	0.001144208398489645 0.00045433893684688776
1 66 23 20	0.5809987819732034 0.012721490231712857
1 66 27	0.04610169491525424 0.0051491746175980615
1 66 27 18	0.014550479596813526 0.013478721793124338
1 66 27 27	0.0712912528035886 0.011434196577313342
1 66 27 83	0.014347834799511051 0.013478721793124338
1 66 27 92	0.07824933687002653 0.011207027108889898
1 66 30	0.09380863039399624 0.0007572315614114796
1 66 30 18	0.015634771732332707 0.0015144631228229592
1 66 30 27	0.04004368401892974 0.0007572315614114796
1 66 30 92	0.04004368401892974 0.0007572315614114796
1 66 34 30	0.17752808988764046 0.011964258670301379
1 66 34 52	0.12474437627811862 0.004619112524610025
1 66 34 99	0.148380355276907 0.010752688172043012
1 66 35 80	0.0037178581813650147 0.019233681659851582
1 66 39	0.002333241833653582 0.0012872936543995154
1 66 39 30	0.2113127001067236 0.024458579433590793
1 66 39 52	0.08856044220139389 0.006436468271997577
1 66 39 99	0.16578931803395044 0.021732545812509465
1 66 40	0.002015451797111186 0.0009086778736937755
1 66 40 30	0.24783603621530195 0.02938058458276541
1 66 40 52	0.08469779664443097 0.0066636377404210205
1 66 40 99	0.21853646415703815 0.02120248371952143
1 66 43 21	0.9285714285714286 0.0066636377404210205
1 66 44 20	0.3811987925830099 0.00969256398606694
1 66 45 30	0.18027613412228796 0.011282750265031047
1 66 45 110	0.0014837703298393157 0.019082235347569285
1 66 50 20	0.47914645974781767 0.0068150840527033164
1 66 51 30	0.43119266055045874 0.004922005149174617
1 66 53 30	0.3333333333333333 0.0014387399666818113
1 66 53 52	0.2289156626506024 0.0014387399666818113
1 66 53 99	0.2289156626506024 0.0014387399666818113
1 66 56 121	0.45918367346938777 0.0034075420263516582
1 66 58 20	0.6237816764132553 0.009011055580796607
1 66 65 30	0.6538461538461539 0.0012872936543995154
1 66 66 20	0.5714285714285714 0.0030289262456459185
1 66 67 21	0.43199035812672176 0.009995456610631531
1 66 67 61	0.06626763574176998 0.010676965015901863
1 66 73 20	0.6190878378378378 0.012721490231712857
1 66 79 21	0.76 0.0014387399666818113
1 66 83	0.009886488465763456 0.011964258670301379
1 66 83 18	0.02601834744584315 0.019082235347569285
1 66 83 27	0.009911530413714622 0.0203695290019688
1 66 83 83	0.02599277765888877 0.01900651219142814
1 66 83 92	0.010384488991127178 0.02044525215810995
1 66 85 20	0.27466602434640824 0.01824928063001666
1 66 85 39	0.0011469704160734062 0.002195971528093291
1 66 86 21	0.09654753643303261 0.008253824019385129
1 66 86 30	0.1541095890410959 0.007723761926397092
1 66 88 20	0.5809987819732034 0.012721490231712857
1 66 92 18	0.014055346081335848 0.013478721793124338
1 66 92 83	0.013851104770751774 0.013478721793124338
1 66 92 92	0.07813547954393024 0.011055580796607603
1 66 95 21	0.19641076769690927 0.009011055580796607
1 66 95 30	0.20099255583126552 0.015447523852794184
1 66 95 52	0.03975363941769317 0.004997728305315766
1 66 95 99	0.11153552330022919 0.010752688172043012
1 66 105 20	0.14066852367688024 0.0066636377404210205
1 66 105 40	0.18181818181818182 0.005906406179009541
1 66 109 20	0.21905609973285842 0.010676965015901863
1 66 117 30	0.31736526946107785 0.005906406179009541
1 66 117 52	0.24146981627296588 0.004619112524610025
1 66 117 99	0.1625615763546798 0.004997728305315766
1 66 122 57	0.5444444444444444 0.005906406179009541
1 66 123 20	0.34 0.0051491746175980615
1 66 126 21	0.028925619834710745 0.0027260336210813267
1 66 126 61	0.07520372526193247 0.0068150840527033164
1 83 18	0.030230198067725873 0.00015144631228229593
1 83 18 18	0.026366253337741716 0.00015144631228229593
1 83 18 27	0.02170525647745407 0.00022716946842344388
1 83 18 83	0.026178649536767008 0.00015144631228229593
1 83 83	0.029029615827222376 0.00015144631228229593
1 83 83 18	0.024793366661238648 0.00015144631228229593
1 83 83 83	0.024356149607885208 0.00015144631228229593
1 83 83 92	0.024029853878812964 0.00022716946842344388
1 83 85 20	0.0124665327978581 0.00022716946842344388
1 83 92 18	0.037624322602684564 7.572315614114796e-05
1 85 20	0.8637702503681886 0.001893078903528699
1 85 20 83	0.02982920131350471 0.00030289262456459186
1 85 35 80	0.00308001889078253 0.003483265182492806
1 85 39 30	0.2950191570881226 0.00022716946842344388
1 85 39 52	0.16666666666666666 0.00015144631228229593
1 85 39 99	0.16723549488054607 0.00015144631228229593
1 85 40 30	0.2653958944281525 0.001968802059669847
1 85 40 52	0.16927899686520376 0.00015144631228229593
1 85 40 99	0.13953488372093023 0.00015144631228229593
1 85 67 21	0.6318681318681318 0.00015144631228229593
1 86 21	0.6455938697318008 7.572315614114796e-05
1 86 21 83	0.029101060096387375 7.572315614114796e-05
1 86 61 30	0.031746031746031744 0.00015144631228229593
1 86 61 52	0.019417475728155338 7.572315614114796e-05
1 86 61 99	0.08333333333333333 0.00015144631228229593
1 95 30	0.6141078838174274 0.00022716946842344388
1 95 105 20	0.4046692607003891 0.00022716946842344388
1 117 105 20	0.4144144144144144 0.00022716946842344388
1 121	0.5569620253164557 0.0033318188702105103
1 121 1 66	0.009089187653853437 0.0034075420263516582
1 121 1 121	0.5569620253164557 0.0033318188702105103
