25 90 76	1.0 0.1388888888888889
28 77 35 103	0.004166666666666667 0.027777777777777776
28 93 76	1.0 0.05555555555555555
28 104 35 103	0.004166666666666667 0.027777777777777776
29 94 76	1.0 0.05555555555555555
39 104 76	1.0 0.027777777777777776
46 111 76	1.0 0.027777777777777776
46 111 123 76	1.0 0.027777777777777776
53 77 35 103	0.0125 0.08333333333333333
53 104 35 103	0.0125 0.08333333333333333
53 105 35 103	0.012468252135765412 0.08333333333333333
53 117 93 75	0.06 0.08333333333333333
53 118 76	1.0 0.08333333333333333
53 126 38 103	0.0125 0.08333333333333333
57 122 76	1.0 0.027777777777777776
58 46 111 76	1.0 0.027777777777777776
58 123 76	1.0 0.027777777777777776
76	1.0 1.0
76 2 67	0.5 0.027777777777777776
76 6 71	0.01848642403235124 0.7222222222222222
76 10 75	0.42857142857142855 0.08333333333333333
76 11 76	0.9655172413793104 1.0
76 11 108 96	0.5 0.027777777777777776
76 16 81	0.037037037037037035 0.05555555555555555
76 20 18 85	0.0005497526113249038 0.16666666666666666
76 20 27 85	0.001497967044725016 0.16666666666666666
76 20 83 85	0.0005487183507094144 0.16666666666666666
76 20 85	0.0024241411017303354 0.16666666666666666
76 20 92 85	0.0014727540500736377 0.16666666666666666
76 20 95 110	0.0064 0.05555555555555555
76 21 15 103	0.2 0.05555555555555555
76 21 86	0.09375 0.05555555555555555
76 21 95	0.012658227848101266 0.027777777777777776
76 28 15 103	0.1111111111111111 0.027777777777777776
76 28 30 95	0.010869565217391304 0.027777777777777776
76 28 52 95	0.014084507042253521 0.027777777777777776
76 28 93	0.058823529411764705 0.027777777777777776
76 28 99 95	0.010869565217391304 0.027777777777777776
76 30 15 103	0.18181818181818182 0.05555555555555555
76 30 34 93	0.058823529411764705 0.027777777777777776
76 30 86	0.02127659574468085 0.027777777777777776
76 30 95	0.02564102564102564 0.05555555555555555
76 30 95 93	0.05 0.027777777777777776
76 30 117 93	0.058823529411764705 0.027777777777777776
76 31 35 103	0.03333333333333333 0.2222222222222222
76 31 43 76	1.0 0.2222222222222222
76 31 96	0.2682926829268293 0.1111111111111111
76 35 100	0.0035714285714285713 0.027777777777777776
76 37 102	0.014285714285714285 0.027777777777777776
76 38 80 86	0.0234375 0.05555555555555555
76 38 80 93	0.05555555555555555 0.027777777777777776
76 38 80 95	0.001299545159194282 0.05555555555555555
76 38 100 96	0.016563146997929608 0.027777777777777776
76 38 103	0.02175202689341507 0.6666666666666666
76 39 104	0.05555555555555555 0.027777777777777776
76 39 122	1.0 0.027777777777777776
76 40 105	0.023529411764705882 0.05555555555555555
76 45 30 85	0.008032128514056224 0.05555555555555555
76 45 110	0.19230769230769232 0.05555555555555555
76 46 111	0.0005958587814687919 0.1111111111111111
76 51 116	0.005235602094240838 0.027777777777777776
76 57 104	0.05555555555555555 0.027777777777777776
76 57 122	1.0 0.027777777777777776
89 8 24 76	1.0 0.027777777777777776
89 8 35 103	0.14285714285714285 0.027777777777777776
89 12 15 103	0.10526315789473684 0.027777777777777776
89 12 30 86	0.0375 0.027777777777777776
89 12 30 95	0.0035087719298245615 0.027777777777777776
89 12 34 93	0.058823529411764705 0.027777777777777776
89 12 52 95	0.014084507042253521 0.027777777777777776
89 12 93	0.03225806451612903 0.027777777777777776
89 12 95	0.014084507042253521 0.027777777777777776
89 12 95 93	0.05 0.027777777777777776
89 12 99 95	0.010869565217391304 0.027777777777777776
89 12 117 93	0.058823529411764705 0.027777777777777776
89 16 30 95	0.014084507042253521 0.027777777777777776
89 16 52 93	0.030303030303030304 0.027777777777777776
89 20 15 103	0.14342629482071714 0.08333333333333333
89 20 18 95	2.84050560999858e-05 0.027777777777777776
89 20 34 93	0.004405286343612335 0.027777777777777776
89 20 83 95	2.8229448961156277e-05 0.027777777777777776
89 20 86	0.02243158366980709 0.05555555555555555
89 20 92 86	0.00107421875 0.027777777777777776
89 20 95	0.0003071253071253071 0.05555555555555555
89 20 95 93	0.001184834123222749 0.027777777777777776
89 20 117 93	0.041666666666666664 0.027777777777777776
89 23 24 76	1.0 0.027777777777777776
89 23 35 103	0.14285714285714285 0.027777777777777776
89 24 76	1.0 0.08333333333333333
89 35 80 86	0.03295148247978437 0.027777777777777776
89 35 80 93	0.003787878787878788 0.027777777777777776
89 35 80 95	3.004803177879841e-06 0.027777777777777776
89 35 103	0.14244270380040616 0.05555555555555555
89 39 15 103	0.06 0.05555555555555555
89 39 30 86	0.0570446735395189 0.027777777777777776
89 39 30 95	7.572889057175312e-05 0.027777777777777776
89 39 52 95	0.001736111111111111 0.027777777777777776
89 39 93	0.002304147465437788 0.027777777777777776
89 39 99 86	0.001451378809869376 0.027777777777777776
89 39 99 95	0.002004008016032064 0.05555555555555555
89 40 15 103	0.1 0.027777777777777776
89 40 30 86	0.05374121537825548 0.027777777777777776
89 40 30 95	0.00010034115994380895 0.027777777777777776
89 43 20 86	0.13333333333333333 0.027777777777777776
89 43 24 76	1.0 0.027777777777777776
89 43 30 86	0.125 0.027777777777777776
89 43 35 103	0.14285714285714285 0.027777777777777776
89 45 76	1.0 0.027777777777777776
89 46 30 86	0.125 0.027777777777777776
89 57 30 86	0.13333333333333333 0.027777777777777776
89 58 20 86	0.13333333333333333 0.027777777777777776
89 58 24 76	1.0 0.027777777777777776
89 58 35 103	0.14285714285714285 0.027777777777777776
89 65 30 86	0.125 0.027777777777777776
89 67 21 86	0.13043478260869565 0.027777777777777776
89 73 24 76	1.0 0.027777777777777776
89 73 35 103	0.14285714285714285 0.027777777777777776
89 79 21 86	0.13333333333333333 0.027777777777777776
89 79 30 86	0.125 0.027777777777777776
89 79 38 103	0.14285714285714285 0.027777777777777776
89 88 24 76	1.0 0.027777777777777776
89 88 35 103	0.14285714285714285 0.027777777777777776
89 108 20 86	0.13333333333333333 0.027777777777777776
89 108 24 76	1.0 0.027777777777777776
89 108 35 103	0.14285714285714285 0.027777777777777776
89 123 20 86	0.13333333333333333 0.027777777777777776
89 123 24 76	1.0 0.027777777777777776
89 123 35 103	0.14285714285714285 0.027777777777777776
108 6 71 96	0.2 0.027777777777777776
108 35 100 96	0.043478260869565216 0.027777777777777776
108 35 103	0.03333333333333333 0.2222222222222222
108 43 76	1.0 0.2222222222222222
108 43 108 96	0.5 0.027777777777777776
108 46 111 96	0.375 0.027777777777777776
108 96	0.5 0.027777777777777776
108 96 6 71	0.04390243902439024 0.16666666666666666
108 96 11 76	1.0 0.2222222222222222
108 96 31 96	0.5 0.027777777777777776
108 96 38 103	0.03333333333333333 0.2222222222222222
110 35 80 86	0.03333333333333333 0.027777777777777776
110 35 103	0.14285714285714285 0.027777777777777776
110 45 76	1.0 0.027777777777777776
