7 20 85 26	0.14893617021276595 0.07142857142857142
7 20 85 43	0.0018484288354898336 0.023809523809523808
7 20 95 42	0.6666666666666666 0.047619047619047616
7 72 42	0.17073170731707318 0.3333333333333333
9 74 42	1.0 0.023809523809523808
30 15 100 26	0.19753086419753085 0.11904761904761904
30 18 85 26	0.02575107296137339 0.047619047619047616
30 34 105 26	0.2631578947368421 0.047619047619047616
30 34 117 42	1.0 0.047619047619047616
30 83 85 26	0.02575107296137339 0.047619047619047616
30 85 8 43	0.5 0.023809523809523808
30 85 26	0.20408163265306123 0.11904761904761904
30 85 43	0.0036496350364963502 0.023809523809523808
30 85 50 26	0.5 0.023809523809523808
30 85 72 42	0.5 0.047619047619047616
30 85 73 43	0.5 0.023809523809523808
30 95 42	0.625 0.11904761904761904
30 95 91 26	0.19230769230769232 0.11904761904761904
30 95 105 26	0.25 0.07142857142857142
30 95 117 42	1.0 0.047619047619047616
42	1.0 1.0
42 17 82	0.025 0.023809523809523808
42 25 90	0.04838709677419355 0.09523809523809523
42 25 90 97	0.03571428571428571 0.023809523809523808
42 28 93	0.3333333333333333 0.11904761904761904
42 28 117 42	1.0 0.047619047619047616
42 28 121 124	0.2 0.023809523809523808
42 32 25 90	0.05128205128205128 0.047619047619047616
42 32 97	0.1 0.023809523809523808
42 45 110	0.25 0.023809523809523808
42 49 114	0.003289473684210526 0.07142857142857142
42 49 114 42	0.07017543859649122 0.09523809523809523
42 53 118	1.0 0.07142857142857142
42 59 56 93	0.2 0.023809523809523808
42 59 93 32	0.5 0.023809523809523808
42 59 124	0.36363636363636365 0.023809523809523808
42 59 124 32	0.2 0.023809523809523808
42 81 16	0.5594405594405595 0.023809523809523808
42 81 43	0.19696969696969696 0.023809523809523808
42 81 45	0.023255813953488372 0.023809523809523808
42 91 26	0.45751633986928103 0.7857142857142857
42 91 43	0.6666666666666666 0.047619047619047616
42 91 49 114	9.745638826625085e-05 0.047619047619047616
42 97 28 124	0.5 0.023809523809523808
42 97 32	1.0 0.023809523809523808
42 97 59 124	0.5 0.023809523809523808
42 107 42	0.8548387096774194 1.0
42 107 49 114	0.00034317089910775565 0.07142857142857142
42 107 52 93	0.027777777777777776 0.023809523809523808
42 108 16	0.203125 0.023809523809523808
42 108 26	1.0 0.047619047619047616
42 108 43	0.6630434782608695 0.09523809523809523
42 110 16	0.3333333333333333 0.023809523809523808
42 110 45	0.5 0.023809523809523808
49 113 48 114	0.0006167763157894736 0.07142857142857142
49 114	0.0004755865567533291 0.07142857142857142
49 114 2 26	0.01875 0.07142857142857142
49 114 16	0.0007272727272727272 0.023809523809523808
49 114 26	0.025338324215375754 0.6904761904761905
49 114 28 93	0.010416666666666666 0.023809523809523808
49 114 39 93	0.0009017132551848512 0.023809523809523808
49 114 42	0.12146422628951747 0.8571428571428571
49 114 43	0.01282051282051282 0.047619047619047616
49 114 45 110	6.820003069001381e-05 0.023809523809523808
49 114 49 114	0.0005509506530695321 0.07142857142857142
49 114 52 93	0.002749770852428964 0.023809523809523808
49 114 91 16	0.0625 0.023809523809523808
49 114 91 26	0.014269406392694063 0.2619047619047619
49 114 107 42	0.0625 0.09523809523809523
49 114 121 42	0.07692307692307693 0.047619047619047616
52 27 27 93	0.015384615384615385 0.023809523809523808
52 27 92 93	0.054945054945054944 0.023809523809523808
52 30 85 26	0.2 0.047619047619047616
52 30 95 42	1.0 0.047619047619047616
52 56 121 93	0.16666666666666666 0.023809523809523808
52 77 12 93	0.024704618689581095 0.023809523809523808
52 77 16	0.009900990099009901 0.023809523809523808
52 77 39 93	0.022222222222222223 0.023809523809523808
52 77 40 93	0.053475935828877004 0.023809523809523808
52 92 27 93	0.012195121951219513 0.023809523809523808
52 92 77 16	0.04878048780487805 0.023809523809523808
52 92 104 16	0.0641025641025641 0.023809523809523808
52 92 104 43	0.25 0.023809523809523808
52 92 121 42	0.4 0.023809523809523808
52 92 122 16	0.5 0.023809523809523808
52 92 122 43	0.5 0.023809523809523808
52 93	0.02631578947368421 0.023809523809523808
52 93 28 93	0.024193548387096774 0.023809523809523808
52 93 49 114	0.0028653295128939827 0.023809523809523808
52 93 56 93	0.16666666666666666 0.023809523809523808
52 93 107 42	1.0 0.047619047619047616
52 99 85 26	0.2 0.047619047619047616
52 99 95 42	1.0 0.047619047619047616
52 104 12 93	0.025 0.023809523809523808
52 104 16	0.022900763358778626 0.023809523809523808
52 104 39 93	0.04276790004805382 0.023809523809523808
52 104 43	0.15789473684210525 0.023809523809523808
52 105 12 93	0.037037037037037035 0.023809523809523808
52 105 16	0.00273224043715847 0.023809523809523808
52 105 26	0.23076923076923078 0.07142857142857142
52 105 39 93	0.0022026431718061676 0.023809523809523808
52 105 40 93	0.02003958436417615 0.023809523809523808
52 117 42	0.9411764705882353 0.6190476190476191
52 117 49 114	0.0004809233728759218 0.047619047619047616
52 117 52 93	0.014705882352941176 0.023809523809523808
52 118 53 93	0.014354066985645933 0.023809523809523808
52 121 56 93	0.1111111111111111 0.023809523809523808
52 126 61 93	0.0351985559566787 0.023809523809523808
56 27 117 42	1.0 0.047619047619047616
56 49 114 26	0.07142857142857142 0.023809523809523808
56 49 114 42	0.1111111111111111 0.047619047619047616
56 58 40 93	0.16666666666666666 0.023809523809523808
56 121 42	0.8125 0.16666666666666666
56 121 49 114	0.0023584905660377358 0.023809523809523808
56 121 52 93	0.125 0.023809523809523808
56 126 61 93	0.0008880994671403197 0.023809523809523808
124 59 42	1.0 0.023809523809523808
