1 66	0.0695364238410596 0.007950931394820535
1 66 1 66	0.009583197698376709 0.008480993487808572
1 66 6 71	0.0017383988171464277 0.007042253521126761
1 66 6 102	0.0009216589861751152 0.00015144631228229593
1 66 12 104	0.11189103367594218 0.022565500530062094
1 66 15 100	0.2778734395178648 0.05103740723913373
1 66 16 81	0.041130584540573396 0.019839466908980766
1 66 18 85	0.025508624999669337 0.1558382553384825
1 66 20 85	0.10099330980637952 0.17439042859306375
1 66 20 105	0.08566581849024597 0.0014387399666818113
1 66 23	0.057692307692307696 0.00022716946842344388
1 66 24 89	0.04774772340368039 0.016280478570346812
1 66 34 104	0.33439237490071483 0.03134938664243526
1 66 34 105	0.5022421524663677 0.03611994547932758
1 66 35 100	0.02299793931115809 0.0631531122217174
1 66 36 101	0.004547474448229892 0.006966530364985612
1 66 39 77	0.09218341648847707 0.0025745873087990308
1 66 39 85	0.8787878787878788 0.002195971528093291
1 66 39 104	0.10629809062410943 0.03278812660911707
1 66 39 105	0.11545944117066569 0.034075420263516586
1 66 40 104	0.08835758835758836 0.03180372557928214
1 66 40 105	0.06058098390594681 0.040436165379373015
1 66 45 108	0.013130029648454045 0.0006057852491291837
1 66 45 110	0.007828983303166935 0.01113130395274875
1 66 46 111	0.003195980344504522 0.10275632288353778
1 66 51 116	0.009541425818882466 0.011055580796607603
1 66 77	0.39473684210526316 0.00045433893684688776
1 66 79 116	0.0029498525073746312 0.00015144631228229593
1 66 83 85	0.025375047037121828 0.1558382553384825
1 66 85	0.6746463547334058 0.1791609874299561
1 66 85 8	0.39285714285714285 0.001741632591246403
1 66 85 123	0.5340909090909091 0.0016659094351052551
1 66 86 2	0.1200640341515475 0.0033318188702105103
1 66 95 104	0.3373749621097302 0.03831591700742087
1 66 95 105	0.42560226735947093 0.05240042404967439
1 66 95 108	0.37333333333333335 0.001893078903528699
1 66 95 116	0.4444444444444444 0.00030289262456459186
1 66 105	0.3904761904761905 0.0012115704982583674
1 121 85	0.6714285714285714 0.01779494169316977
3 68 18 85	0.004689078055114702 0.009541117673784643
3 68 30 85	0.2504361098996947 0.17393608965621687
3 68 83 85	0.004710197037250108 0.009616840829925791
3 68 85	0.2510874293170944 0.17408753596849916
3 68 95 85	0.4642857142857143 0.0006815084052703317
14	0.5 7.572315614114796e-05
14 16 81	0.0410958904109589 0.00022716946842344388
14 20 14	1.0 7.572315614114796e-05
14 20 15 100	0.00017725782150137374 7.572315614114796e-05
14 20 85	0.0018365472910927456 7.572315614114796e-05
14 35 80 14	0.5 7.572315614114796e-05
14 35 80 85	0.16549789621318373 0.01779494169316977
14 35 100	0.10736196319018405 0.009995456610631531
14 40 105	0.03125 7.572315614114796e-05
14 46 111	0.005746674014012438 0.005300620929880357
14 79 14	0.5 7.572315614114796e-05
14 79 15 100	0.013184293493837776 0.009919733454490383
14 79 85	1.0 0.01779494169316977
14 79 104	0.7272727272727273 0.0012115704982583674
15 80 1 66	0.05627906976744186 0.0073451461456913525
15 80 14	0.054878048780487805 0.00015144631228229593
15 80 15 100	0.00681142475698866 0.2492806300166591
15 80 18 77	0.0050066131165521464 0.001817355747387551
15 80 18 85	0.0027646485838061087 0.3615780705739815
15 80 18 104	0.008794854540617517 0.0030289262456459185
15 80 18 105	0.004346647348234008 0.0026503104649401787
15 80 27 77	0.030528959347041282 0.0034075420263516582
15 80 27 85	0.02639064813119678 0.37270937452673025
15 80 27 104	0.03718963752894921 0.021051037407239133
15 80 27 105	0.04756456226582329 0.031500832954717554
15 80 30 77	0.020355051584719768 0.0012115704982583674
15 80 30 85	0.0521709563090072 0.40799636528850525
15 80 30 122	0.013333333333333334 0.00022716946842344388
15 80 33 85	0.034482758620689655 0.00045433893684688776
15 80 34 77	0.0673076923076923 0.005527790398303802
15 80 34 104	0.07140137749627938 0.0893533242465546
15 80 34 105	0.07631516867185657 0.0909435105255187
15 80 34 122	0.017640573318632856 0.0007572315614114796
15 80 37 100	0.11145833333333334 0.016204755414205664
15 80 45 108	0.0030713689145135652 0.0012872936543995154
15 80 51 116	0.005893266397468078 0.01340299863698319
15 80 52 85	0.12033485540334855 0.10820839012570044
15 80 56 104	0.04477611940298507 0.0003786157807057398
15 80 77	0.06528018486424032 0.006285021959715281
15 80 83 77	0.004970249414980371 0.001893078903528699
15 80 83 85	0.002616411910155788 0.36271391791609875
15 80 83 105	0.004283011596538556 0.0026503104649401787
15 80 83 122	0.004338592233009708 0.00015144631228229593
15 80 85	0.1195070566959375 0.5289262456459185
15 80 85 23	0.04825901038485034 0.0030289262456459185
15 80 85 58	0.057545507927187316 0.004240496743904286
15 80 85 88	0.04940587867417136 0.0030289262456459185
15 80 85 109	0.008816705336426913 0.0009086778736937755
15 80 85 123	0.08687943262411348 0.004619112524610025
15 80 86 2	0.017050836754025894 0.009389671361502348
15 80 86 110	0.6730769230769231 0.0012115704982583674
15 80 92 77	0.03459469486180671 0.0030289262456459185
15 80 92 85	0.030454692098119383 0.3718764198091776
15 80 92 105	0.04815023658339258 0.030289262456459184
15 80 93 0	0.25 0.00022716946842344388
15 80 93 110	0.04734299516908213 0.01113130395274875
15 80 95 75	0.05821917808219178 0.001968802059669847
15 80 95 77	0.04072992700729927 0.008935332424655459
15 80 95 81	0.13974495217853347 0.010146902922913826
15 80 95 85	0.11365235749472202 0.023247008935332426
15 80 95 104	0.03146728304581501 0.11827956989247312
15 80 95 105	0.03111750014520532 0.15364228381038922
15 80 95 110	0.05840437714721975 0.01779494169316977
15 80 95 122	0.02672516952532908 0.0026503104649401787
15 80 98 105	0.02857142857142857 0.00045433893684688776
15 80 99 77	0.019077901430842606 0.0009086778736937755
15 80 99 85	0.04665421052137418 0.29456307738906556
15 80 104	0.056659142212189616 0.07186127517794942
15 80 105	0.06258283870224168 0.07663183401484173
15 80 105 8	0.031496062992125984 0.0006057852491291837
15 80 105 23	0.02214022140221402 0.00045433893684688776
15 80 105 58	0.04975124378109453 0.0007572315614114796
15 80 105 73	0.03333333333333333 0.0006057852491291837
15 80 105 88	0.020080321285140562 0.0003786157807057398
15 80 108	0.10714285714285714 0.00030289262456459186
15 80 116	0.007438758496857766 0.004391943056186582
15 80 116 85	0.01565217391304348 0.0006815084052703317
15 80 116 123	0.00966183574879227 0.00015144631228229593
15 80 117 85	0.08620689655172414 0.0009844010298349236
15 80 117 104	0.061520678140251736 0.03165227926699985
15 80 117 105	0.05728508520007659 0.035817052854762985
15 80 117 110	0.08553000560852496 0.010979857640466455
15 80 118 110	0.9428571428571428 0.0011358473421172195
15 80 122	0.026246719160104987 0.0006057852491291837
15 80 126 2	0.010752688172043012 0.0044676662123277295
15 85 20 100	0.0051328896428726786 0.06254732697258822
15 85 35 100	0.0051328896428726786 0.06254732697258822
15 87 22 100	0.004329004329004329 0.00015144631228229593
15 87 46 111	0.00024826216484607745 7.572315614114796e-05
15 100	0.016803676953381485 0.23867938815689838
15 100 0 111	0.020353302611367127 0.008026654550961684
15 100 1 66	0.020747572951936723 0.019233681659851582
15 100 1 85	0.028359636537541845 0.08753596849916705
15 100 1 116	0.0011812714776632302 0.0006815084052703317
15 100 6 71	0.0026613021676765384 0.029910646675753445
15 100 6 87	0.001568979042922784 0.0006815084052703317
15 100 6 111	0.004074160026817256 0.011964258670301379
15 100 8	0.013371537726838587 0.0028774799333636226
15 100 8 8	0.020795765225990345 0.0031046494017870664
15 100 8 73	0.015017250962173725 0.0032560957140693623
15 100 10 75	0.0013813295296723096 0.004922005149174617
15 100 12 77	0.018013088950148356 0.010828411328184158
15 100 12 85	0.018464070802793466 0.2115704982583674
15 100 12 104	0.02296599258075587 0.09306375889747084
15 100 12 105	0.02133329213943106 0.09215508102377708
15 100 12 122	0.005928560841855639 0.0009086778736937755
15 100 16 81	0.01806080399184519 0.1375132515523247
15 100 16 108	0.01431008728429293 0.04543389368468878
15 100 20 14	0.0020242914979757085 0.00015144631228229593
15 100 20 66	0.01808972503617945 0.003483265182492806
15 100 20 77	0.030590257451393127 0.002347417840375587
15 100 20 85	0.06656210359589153 0.48493109192791156
15 100 20 100	0.005119432771807172 0.06254732697258822
15 100 20 104	0.02637070667996824 0.003558988338633954
15 100 20 105	0.013635605470921828 0.00371043465091625
15 100 20 122	0.009837110199530048 0.0006057852491291837
15 100 21 85	0.11949481865284974 0.08374981069210964
15 100 22 87	0.005469672846797802 0.003786157807057398
15 100 22 116	0.0028903273928447748 0.006057852491291837
15 100 23	0.012990455991516436 0.003483265182492806
15 100 23 8	0.005988023952095809 7.572315614114796e-05
15 100 23 23	0.018360830228845132 0.004164773587763138
15 100 23 88	0.0178168130489335 0.004316219900045434
15 100 24 89	0.007020969543130387 0.0615629259427533
15 100 30 85	0.14359375 0.08374981069210964
15 100 35 100	0.006193196086436919 0.25283961835529306
15 100 36 101	0.0028141077865597676 0.041041950628502195
15 100 37 85	0.09523809523809523 0.01226715129486597
15 100 37 100	0.005527542516014519 0.06799939421475087
15 100 37 102	0.016483064405540065 0.031425109798576406
15 100 37 111	0.0032564347204440494 0.18945933666515222
15 100 39 77	0.029777808422250186 0.009844010298349234
15 100 39 85	0.03360371839276421 0.288126609117068
15 100 39 104	0.027530485874858443 0.1409965167348175
15 100 39 105	0.027073071645898634 0.1449341208541572
15 100 39 122	0.009547471716982312 0.002423140996516735
15 100 40 77	0.029754656048811102 0.00923822504922005
15 100 40 85	0.010930103035366193 0.061638649098894445
15 100 40 104	0.02338346909942614 0.13243980009086778
15 100 40 105	0.021091271850053578 0.18090262002120247
15 100 40 122	0.008166321945652949 0.002195971528093291
15 100 41 106	0.0018702320229715492 0.012418597607148266
15 100 43 81	0.012819198030971183 0.10502801756777222
15 100 43 85	0.06604787493893503 0.10237770710283205
15 100 43 108	0.010165808024534734 0.05603513554444949
15 100 43 110	0.006095814283913696 0.010904134484325307
15 100 43 111	0.001975025484199796 0.002347417840375587
15 100 44	0.008123249299719889 0.0011358473421172195
15 100 44 109	0.009163533834586466 0.0028774799333636226
15 100 45 89	0.003430117396975699 0.005376344086021506
15 100 45 108	0.02567750901690877 0.0015901862789641072
15 100 45 110	0.00668867249460648 0.045888232621535664
15 100 46 102	0.0010886709642024413 0.00779948508253824
15 100 46 111	0.003259185935739818 0.4107981220657277
15 100 49 114	0.004767728750383854 0.01741632591246403
15 100 50	0.02203856749311295 0.0011358473421172195
15 100 51 116	0.004385599192261225 0.03983038013024383
15 100 53 104	0.08100686498855836 0.021732545812509465
15 100 57 77	0.00909090909090909 0.002423140996516735
15 100 57 85	0.011092355919942128 0.020899591094956836
15 100 57 104	0.010192937750273025 0.030743601393306074
15 100 57 105	0.007249668404891255 0.0277903983038013
15 100 57 122	0.01586828867207479 0.03218234135998788
15 100 58	0.012503812137846905 0.0030289262456459185
15 100 58 23	0.007692307692307693 0.00015144631228229593
15 100 58 58	0.004608294930875576 0.00015144631228229593
15 100 58 88	0.006472491909385114 0.00015144631228229593
15 100 58 123	0.019440124416796267 0.004391943056186582
15 100 62 101	0.003521526752243553 0.005906406179009541
15 100 63 128	0.0033345683586513525 0.0009086778736937755
15 100 65 110	0.006619385342789598 0.0027260336210813267
15 100 67 2	0.007031947849554326 0.012191428138724822
15 100 67 4	0.013222331047992164 0.002423140996516735
15 100 69 4	0.031476997578692496 0.0029532030895047705
15 100 72 7	0.08620689655172414 0.0003786157807057398
15 100 73	0.015579790785666592 0.0028774799333636226
15 100 73 23	0.004651162790697674 7.572315614114796e-05
15 100 73 73	0.023865063699982057 0.0031046494017870664
15 100 79 85	0.4957983193277311 0.017870664849310918
15 100 88	0.013630041724617525 0.003483265182492806
15 100 88 23	0.01838235294117647 0.004240496743904286
15 100 88 88	0.018360830228845132 0.004164773587763138
15 100 96 31	0.2916666666666667 0.00015144631228229593
15 100 109	0.007548408270429931 0.0013630168105406633
15 100 109 44	0.009766171940632876 0.0026503104649401787
15 100 115	0.022099447513812154 0.0010601241859760715
15 100 121 81	0.07692307692307693 0.0030289262456459185
15 100 123	0.01942117288651942 0.0034075420263516582
15 102 15 100	0.11145833333333334 0.016204755414205664
15 102 20 85	0.0004793097938967886 0.00022716946842344388
15 102 35 100	0.005193345601403006 0.06368317431470544
15 102 37 100	0.006916197010536633 0.08549144328335605
15 102 40 105	0.0017889087656529517 0.0003786157807057398
15 102 46 111	0.0028122820295920334 0.026957443586248676
15 103 11 89	0.005415162454873646 0.005452067242162653
15 103 21 85	0.10999665103817817 0.2570043919430562
15 103 28 104	0.04418723156438815 0.04876571255489929
15 103 30 85	0.12719263243579718 0.25329395729213994
15 103 31	0.08536585365853659 0.00015144631228229593
15 103 38 100	0.012498210879847683 0.22217174011812812
15 116 35 100	3.262429857758058e-05 7.572315614114796e-05
15 116 46 111	7.547169811320755e-05 0.00015144631228229593
15 116 51 100	0.060126582278481014 0.0014387399666818113
15 121 56 100	0.37037037037037035 0.0007572315614114796
15 121 85	1.0 0.0013630168105406633
18 1 66	0.005164828157877957 0.011964258670301379
18 1 66 85	0.007623362451061013 0.16212327729819778
18 3 68 85	0.0011172803179558034 0.009919733454490383
18 14 46 111	0.006348910607112812 0.16628805088596094
18 14 51 116	0.005348236283877171 0.006739360896562169
18 15 80 77	0.015647226173541962 0.006360745115856429
18 15 80 85	0.016700177529542917 0.3366651522035438
18 15 80 104	0.01162627819022272 0.05467211873390883
18 15 80 105	0.016138791624096097 0.06587914584279873
18 15 80 116	0.009777743871427118 0.008632439800090867
18 15 80 122	0.016111314536799707 0.0006815084052703317
18 15 100	0.007784302411097157 0.16772679085264275
18 15 100 23	0.009108258154059681 0.0029532030895047705
18 15 100 58	0.009905407817240764 0.0028017567772224746
18 15 100 109	0.009439400489984148 0.0026503104649401787
18 18 1 66	0.018513759477458834 0.01900651219142814
18 18 15 100	0.017236349816995185 0.20687566257761625
18 18 18 77	0.06985727195279229 0.0044676662123277295
18 18 18 85	0.15724958723466295 0.7615477813115251
18 18 18 104	0.02741919597268015 0.0051491746175980615
18 18 18 105	0.025641942625912618 0.008329547175526275
18 18 18 122	0.018636040771161294 0.0011358473421172195
18 18 27 77	0.0553547089323496 0.00408905043162199
18 18 27 85	0.06953362914152714 0.7162653339391186
18 18 27 104	0.02369496045573014 0.00484628199303347
18 18 27 105	0.021654021387185328 0.007269422989550204
18 18 34 77	0.06302061034273859 0.009995456610631531
18 18 34 104	0.04703000245921717 0.08836892321671967
18 18 34 105	0.06271502471489174 0.10911706799939422
18 18 34 122	0.027255571104096345 0.0007572315614114796
18 18 45 108	0.0100669855383932 0.002271694684234439
18 18 45 110	4.8615969621178766e-05 0.0010601241859760715
18 18 51 116	0.016287390034091676 0.009541117673784643
18 18 56 66	0.01498267949369433 0.004770558836892321
18 18 56 100	0.008282805377680433 0.0007572315614114796
18 18 56 105	0.022559714382991855 0.003483265182492806
18 18 77	0.06776195818646187 0.0044676662123277295
18 18 77 109	6.848103639666464e-06 7.572315614114796e-05
18 18 83 66	0.022512202204471747 0.00015144631228229593
18 18 83 77	0.07263224624846021 0.004391943056186582
18 18 83 85	0.15826407625482344 0.7616992276238074
18 18 83 100	0.000995148605416965 7.572315614114796e-05
18 18 83 104	0.027636997244319412 0.005073451461456913
18 18 83 105	0.026990635851580624 0.008253824019385129
18 18 83 122	0.020220296676375444 0.0010601241859760715
18 18 85	0.10556779367831606 0.7681356958958049
18 18 85 8	0.10240277566074227 0.008480993487808572
18 18 85 23	0.07947851800007635 0.008480993487808572
18 18 85 58	0.08390385110561105 0.00969256398606694
18 18 85 73	0.12543561285693813 0.008480993487808572
18 18 85 88	0.08488982753626462 0.008480993487808572
18 18 85 109	0.03917577561601377 0.0034075420263516582
18 18 85 115	0.06903265923004526 0.003483265182492806
18 18 85 123	0.08833745773694307 0.00855671664394972
18 18 86 2	0.03099683896538722 0.02377707102832046
18 18 86 4	0.05102705416056098 0.004770558836892321
18 18 86 110	0.05367751483589258 0.0015901862789641072
18 18 92 77	0.05600848110928188 0.00408905043162199
18 18 92 85	0.07017059340968258 0.7164167802514009
18 18 92 104	0.029997532027019505 0.004770558836892321
18 18 92 105	0.021821935588844557 0.0073451461456913525
18 18 92 122	0.024846615794468434 0.0008329547175526276
