1 66	0.002127659574468085 0.0007451564828614009
1 66 20 77	0.1975 0.0067064083457526085
1 66 45 108	0.007698887938408896 0.0007451564828614009
1 66 77	0.8928571428571429 0.0067064083457526085
15 80 15 100	0.00019399876752764487 0.05663189269746647
15 80 18 85	0.00017997534668993316 0.05886736214605067
15 80 27 77	0.061991069083267666 0.04992548435171386
15 80 27 85	0.00046523924627808603 0.05439642324888227
15 80 27 105	0.0029081737698167594 0.010432190760059613
15 80 30 77	0.08187923487437788 0.018628912071535022
15 80 30 85	0.0011960451061463191 0.06184798807749627
15 80 34 77	0.11909036505086774 0.05290611028315946
15 80 34 105	0.0024124374553252323 0.01564828614008942
15 80 51 116	0.0006642023795772207 0.0067064083457526085
15 80 56	0.04 0.0014903129657228018
15 80 77	0.19318181818181818 0.10730253353204174
15 80 83 77	0.019065776930409915 0.03129657228017884
15 80 83 85	0.0001695302710693074 0.05961251862891207
15 80 85	0.0019017485989330013 0.06259314456035768
15 80 86 2	0.0006302521008403362 0.0022354694485842027
15 80 92 77	0.0666062528318985 0.04918032786885246
15 80 92 85	0.0004911656263352877 0.05216095380029806
15 80 92 105	0.0029675521599354425 0.010432190760059613
15 80 95 77	0.043119029176349084 0.07078986587183309
15 80 95 104	0.00033591991669186066 0.011922503725782414
15 80 95 105	0.0006274409373199308 0.028315946348733235
15 80 99 85	0.001555559720374084 0.05290611028315946
15 80 104	0.00146484375 0.011177347242921014
15 80 105	0.0032944277108433737 0.02384500745156483
15 80 116	0.0019665683382497543 0.004470938897168405
15 100	0.000624181311484057 0.05141579731743666
15 100 1 66	0.0027174929257924984 0.011177347242921014
15 100 6 71	0.00018932052542542567 0.011177347242921014
15 100 10 75	0.00027348023128613845 0.0029806259314456036
15 100 12 77	0.034054337250205825 0.08345752608047691
15 100 12 85	0.0005125271162602208 0.029806259314456036
15 100 12 104	0.0005877581727773925 0.014157973174366617
15 100 12 105	0.0008920443368908367 0.02384500745156483
15 100 16 81	0.0007385480851765935 0.03502235469448584
15 100 20 77	0.1030644948851912 0.03651266766020864
15 100 20 85	0.0014199755188838796 0.07600596125186289
15 100 20 100	0.00013016270337922402 0.009687034277198211
15 100 24 89	0.0002732502993245838 0.014903129657228018
15 100 30 85	0.005257992148065059 0.013412816691505217
15 100 35 100	0.00017841312876223353 0.05886736214605067
15 100 36 101	0.00015439667229760412 0.013412816691505217
15 100 37 100	0.00017912051825536615 0.013412816691505217
15 100 37 102	0.00021048580122923707 0.00819672131147541
15 100 39 77	0.057842865424848136 0.07451564828614009
15 100 39 104	0.0006014030150337821 0.01788375558867362
15 100 39 105	0.0009285007943926138 0.029061102831594635
15 100 40 77	0.052888949794084344 0.07824143070044709
15 100 40 104	0.0004802405435346192 0.014903129657228018
15 100 40 105	0.0006741142966502804 0.03651266766020864
15 100 41 106	9.34251391033589e-05 0.004470938897168405
15 100 43 77	0.16417910447761194 0.00819672131147541
15 100 43 81	0.0005389242999355439 0.022354694485842028
15 100 43 108	0.0001915451077327216 0.011177347242921014
15 100 45 108	0.001899171270718232 0.0007451564828614009
15 100 45 110	0.0002481829059688131 0.011922503725782414
15 100 46 111	9.406867307949834e-05 0.09463487332339791
15 100 49 114	9.05615771060333e-05 0.0037257824143070045
15 100 51 116	0.0005045002433037026 0.029061102831594635
15 100 57 77	0.016864175022789425 0.026825633383010434
15 100 123 73	0.007194244604316547 0.0007451564828614009
15 102 46 111	9.961560097506094e-05 0.00819672131147541
15 103 21 85	0.002301429763240413 0.038002980625931444
15 103 38 100	0.00047332017403441535 0.04918032786885246
15 103 61 77	0.15789473684210525 0.00894187779433681
15 103 61 105	0.005434782608695652 0.0022354694485842027
15 116 46 111	0.0001509433962264151 0.0007451564828614009
18 14 79 77	0.011904761904761904 0.0007451564828614009
18 15 80 77	0.021767441860465118 0.03576751117734724
18 15 100	0.00019727200991996393 0.010432190760059613
18 18 1 66	0.0005599252220417094 0.0029806259314456036
18 18 15 100	0.00040787792144522845 0.014157973174366617
18 18 18 77	0.16097187989726625 0.07078986587183309
18 18 18 85	0.0007021974720553599 0.043964232488822655
18 18 18 105	1.0378457419758714e-06 0.0014903129657228018
18 18 27 77	0.08362633639906326 0.06110283159463487
18 18 27 85	0.00035655006016155187 0.03651266766020864
