71	1.0 1.0
71 1 66	0.10726474732718834 0.06395958440568106
71 1 66 8	0.07643013441700532 0.0012391573729863693
71 1 66 10	0.08292785381734169 0.0058145076732437325
71 1 66 23	0.0812012012012012 0.001143837575064341
71 1 66 33	0.00205761316872428 9.53197979220284e-05
71 1 66 44	0.057793149615084236 0.004480030502335335
71 1 66 45	0.02275945065836047 0.00047659898961014205
71 1 66 50	0.12894961571306576 0.0008578781812982557
71 1 66 58	0.07753335737468446 0.0016204365646744828
71 1 66 67	0.0016089432168416653 0.006195786864931847
71 1 66 73	0.08351836037574722 0.0012391573729863693
71 1 66 79	0.16722585202189652 0.0006672385854541988
71 1 66 85	0.0044443038575292205 0.012105614336097607
71 1 66 86	0.001838235294117647 0.0005719187875321705
71 1 66 88	0.09709853490376329 0.001143837575064341
71 1 66 104	0.006711409395973154 0.0001906395958440568
71 1 66 109	0.10343489229575005 0.0047659898961014205
71 1 66 123	0.034803812901795614 0.00028595939376608524
71 1 121 85	0.015358361774744027 0.0015251167667524545
71 2	0.003093492208982585 0.002192355352206653
71 2 1 66	0.00047124344007711254 0.0005719187875321705
71 2 6 71	0.06177025096032121 0.17862930130588123
71 2 6 87	0.029787234042553193 0.0006672385854541988
71 2 8 67	0.13758599124452783 0.01143837575064341
71 2 8 69	0.2054794520547945 0.0005719187875321705
71 2 10 75	0.00011581044146940288 0.00047659898961014205
71 2 12 77	0.0018689842070834502 0.0006672385854541988
71 2 12 104	0.00014965259219668626 0.0003812791916881136
71 2 12 105	6.138089475807159e-05 0.00028595939376608524
71 2 12 126	0.10806882463859208 0.043561147650366984
71 2 16 81	0.00012550767855977428 0.0010485177771423124
71 2 16 126	0.08333333333333333 9.53197979220284e-05
71 2 20 85	0.00015281290840688387 0.0018110761605185397
71 2 20 86	0.0841614212224814 0.07511200076255839
71 2 20 95	1.3560517198125936e-05 0.0001906395958440568
71 2 20 126	0.10622620222817657 0.02525974644933753
71 2 23 67	0.17676035931614026 0.021923553522066534
71 2 23 69	0.29508196721311475 0.002192355352206653
71 2 23 120	1.0 9.53197979220284e-05
71 2 24 89	1.1563434108661591e-05 0.00047659898961014205
71 2 33 67	1.0 9.53197979220284e-05
71 2 35 100	2.0496229042431517e-05 0.0020017157563625965
71 2 35 103	0.010076537635592754 0.007244304642074159
71 2 36 101	0.00010134726476809458 0.0016204365646744828
71 2 37 102	7.541193770973945e-05 0.0001906395958440568
71 2 39 104	0.0002540841677331928 0.0013344771709083976
71 2 39 105	0.0003149374849092455 0.0007625583833762272
71 2 39 126	0.11560535665482372 0.025450386045181583
71 2 40 77	0.00035640907375571304 0.0007625583833762272
71 2 40 86	0.10463483146067416 0.011533695548565436
71 2 40 104	0.00016216755650915623 0.0007625583833762272
71 2 40 105	0.0002078826698160389 0.002097035554284625
71 2 40 126	0.10373224077131617 0.05852635592412544
71 2 41 106	0.00038113609669967254 0.002573634543894767
71 2 44 67	0.11713665943600868 0.0032408731293489656
71 2 45 67	0.6842105263157895 0.0003812791916881136
71 2 45 110	3.382080385286598e-05 0.00028595939376608524
71 2 46 111	0.00041124990462556226 0.026022304832713755
71 2 49 114	0.0019843006799147916 0.0015251167667524545
71 2 50 67	0.12099644128113879 0.018873319988561624
71 2 50 69	0.21978021978021978 0.0016204365646744828
71 2 53 126	0.12928759894459102 0.004670670098179392
71 2 57 86	0.18100890207715134 0.007053665046230102
71 2 57 126	0.14705882352941177 0.0032408731293489656
71 2 58 67	0.1267387944358578 0.005051949289867506
71 2 58 69	0.2 0.00028595939376608524
71 2 62 127	0.00034578146611341634 0.0001906395958440568
71 2 67	0.35111271622311613 0.3135068153655514
71 2 67 2	0.0017635379089793997 0.0036221523210370793
71 2 67 4	0.008040126871726783 0.0005719187875321705
71 2 69	0.3353846153846154 0.02764274139738824
71 2 69 2	0.005720380065929804 0.0009531979792202841
71 2 73 67	0.13717085119412126 0.010485177771423125
71 2 73 69	0.2073170731707317 0.001143837575064341
71 2 88	0.0006385696040868455 9.53197979220284e-05
71 2 88 67	0.16689466484268126 0.021732913926222477
71 2 88 69	0.2734584450402145 0.00419407110856925
71 2 88 120	0.2692307692307692 0.00047659898961014205
71 2 98 67	1.0 0.00028595939376608524
71 2 109 67	0.2037735849056604 0.0014297969688304261
71 2 109 69	0.029411764705882353 9.53197979220284e-05
71 2 110 67	0.6842105263157895 0.00047659898961014205
71 2 115 67	0.12023460410557185 0.01658564483843294
71 2 115 69	0.20833333333333334 0.0014297969688304261
71 2 115 120	0.4444444444444444 0.00028595939376608524
71 2 120	0.02295918367346939 0.0005719187875321705
71 2 123 67	0.13945578231292516 0.005623868077399676
71 2 123 69	0.1752988047808765 0.0018110761605185397
71 4	0.008372093023255815 0.0003812791916881136
71 4 6 71	0.16290694136567133 0.114097798112668
71 4 8 67	0.25 0.0010485177771423124
71 4 12 77	0.005610098176718092 9.53197979220284e-05
71 4 12 126	0.12974051896207583 0.003050233533504909
71 4 20 85	0.00015592875788306498 0.0008578781812982557
71 4 20 86	0.07084019769357495 0.05204460966542751
71 4 20 126	0.09831181727904667 0.011247736154799352
71 4 23 67	0.2161520190023753 0.004956629491945477
71 4 35 100	2.2318467167674925e-05 0.0006672385854541988
71 4 35 103	0.010073875083948958 0.0024783147459727386
71 4 36 101	0.00016177564952923285 0.00028595939376608524
71 4 39 104	0.0005843254692863925 0.00047659898961014205
71 4 39 105	0.0006088280060882801 0.0003812791916881136
71 4 39 126	0.07390300230946882 0.004098751310647222
71 4 40 104	0.00020438751873552255 0.00028595939376608524
71 4 40 105	0.00015379883112888343 0.00028595939376608524
71 4 40 126	0.1038907284768212 0.014393289486226288
71 4 44 69	0.07352941176470588 0.00047659898961014205
71 4 46 111	0.00027955859293963837 0.005051949289867506
71 4 50 67	0.1575091575091575 0.003050233533504909
71 4 58 67	0.18181818181818182 0.003050233533504909
71 4 67	0.3495830660679923 0.02802402058907635
71 4 67 2	0.004855275443510738 0.0006672385854541988
71 4 67 4	0.01520572450805009 0.0001906395958440568
71 4 69	0.44120529152376287 0.09817939185968926
71 4 69 2	0.0026366589764113186 0.0008578781812982557
71 4 73 67	0.22727272727272727 0.00047659898961014205
71 4 88 67	0.2037914691943128 0.002573634543894767
71 4 115 67	0.1743119266055046 0.002573634543894767
71 4 120	0.30246913580246915 0.002573634543894767
71 6 71	0.5624631005762409 1.0
71 6 71 2	0.002818386370304337 0.010294538175579068
71 6 71 4	0.00751413913186432 0.0012391573729863693
71 6 71 8	0.3038124261459046 0.003908111714803164
71 6 71 10	0.07921379805512169 0.014012010294538175
71 6 71 14	0.3462086843810758 0.002287675150128682
71 6 71 23	0.20670500332511835 0.004098751310647222
71 6 71 31	0.13221172313128984 0.001143837575064341
71 6 71 32	0.025074647122692726 0.0005719187875321705
71 6 71 33	0.04832973646615399 0.0019063959584405682
71 6 71 44	0.17236110064889645 0.01134305595272138
71 6 71 45	0.09849223898716615 0.010961776761033267
71 6 71 50	0.3675263175825299 0.0024783147459727386
71 6 71 55	0.007558772660303632 0.0006672385854541988
71 6 71 56	0.225518227305218 9.53197979220284e-05
71 6 71 58	0.09625861601902297 0.0024783147459727386
71 6 71 67	0.06311219915676462 0.024878467257649414
