5 70 101	1.0 0.07953873447664105
5 70 101 8	0.04081632653061224 0.0005913660555884093
5 70 101 23	0.1111111111111111 0.0005913660555884093
5 70 101 73	0.08 0.0005913660555884093
13 78 101	0.19533947065592636 0.11324659964518037
13 78 101 8	0.0137221269296741 0.0011827321111768185
13 78 101 73	0.02564102564102564 0.0011827321111768185
13 78 127	0.08714285714285715 0.01537551744529864
13 102 35 100	0.00032624298577580584 0.0014784151389710231
13 102 40 105	0.0006901311249137336 0.00029568302779420464
13 102 46 111	0.0008393173552177563 0.005322294500295683
64 101 1 66	0.0008715632675699231 0.00029568302779420464
64 101 6 71	0.0001299320022521547 0.0005913660555884093
64 101 10 75	0.00042735042735042735 0.00029568302779420464
64 101 12 104	0.0008250825082508251 0.00029568302779420464
64 101 16 81	0.0002311871459946827 0.00029568302779420464
64 101 20 85	0.00016130905524512523 0.0056179775280898875
64 101 35 100	3.0504824337969048e-05 0.00029568302779420464
64 101 39 104	4.8742444921037236e-05 0.00029568302779420464
64 101 39 105	9.578544061302682e-05 0.00029568302779420464
64 101 40 104	0.00022938410368161487 0.00029568302779420464
64 101 41 106	0.0007672914611421681 0.0005913660555884093
64 101 45 110	3.541954450465767e-05 0.00029568302779420464
64 101 46 111	0.00016373149286620843 0.025133057362507392
64 101 58	0.058823529411764705 0.00029568302779420464
64 127 35 100	0.00013049719431032232 0.00029568302779420464
64 127 46 111	8.441668073611346e-05 0.0005913660555884093
64 129 101	0.2552664188351921 0.0892962743938498
64 129 101 8	0.018691588785046728 0.0011827321111768185
64 129 101 73	0.034934497816593885 0.0011827321111768185
64 129 127	0.03571428571428571 0.0026611472501478417
101	1.0 1.0
101 1 66	0.021647580347247876 0.09964518036664695
101 1 66 8	0.0201980198019802 0.0020697811945594325
101 1 66 23	0.00518326545723806 0.002365464222353637
101 1 66 44	0.029313045424032222 0.008870490833826138
101 1 66 50	0.005159071367153913 0.0005913660555884093
101 1 66 58	0.0038356164383561643 0.0008870490833826139
101 1 66 73	0.02190721649484536 0.0020697811945594325
101 1 66 85	0.0048870564638087205 0.027202838557066823
101 1 66 88	0.006148440931049627 0.002365464222353637
101 1 66 109	0.02826975476839237 0.009166173861620342
101 1 66 115	0.005623242736644799 0.0005913660555884093
101 1 66 123	0.011963406052076003 0.0014784151389710231
101 1 85	0.00216169476869866 0.0014784151389710231
101 1 85 8	0.012345679012345678 0.00029568302779420464
101 1 85 73	0.014705882352941176 0.00029568302779420464
101 1 85 123	0.02 0.00029568302779420464
101 1 95 122	0.5 0.00029568302779420464
101 6 71	0.017797455633797688 0.15582495564754584
101 6 71 2	0.003719256148770246 0.004730928444707274
101 6 71 4	0.01002004008016032 0.0011827321111768185
101 6 71 8	0.025597269624573378 0.0035481963335304554
101 6 71 14	0.01461038961038961 0.0008870490833826139
101 6 71 23	0.006298110566829951 0.0029568302779420462
101 6 71 31	0.01575299306868305 0.0020697811945594325
101 6 71 44	0.026168876482903 0.009757539917208752
101 6 71 50	0.001303780964797914 0.0005913660555884093
101 6 71 55	0.038461538461538464 0.00029568302779420464
101 6 71 58	0.007647323436797121 0.0005913660555884093
101 6 71 73	0.026325026325026327 0.0035481963335304554
