1 66	0.0026899798251513113 0.0379746835443038
1 66 1 66	0.001207510891165716 0.058544303797468354
1 66 6 71	0.000386590951414475 0.06962025316455696
1 66 6 111	0.007874015748031496 0.004746835443037975
1 66 12 104	0.0007204814511344051 0.022151898734177215
1 66 12 105	0.0002843276631207412 0.014240506329113924
1 66 16 81	0.0006644341678626481 0.03164556962025317
1 66 20 85	0.0005931974213359154 0.0490506329113924
1 66 22 116	0.001992287917737789 0.04113924050632911
1 66 24 89	0.00019865008239463645 0.007911392405063292
1 66 35 100	0.0001367902346804332 0.05221518987341772
1 66 36 101	0.0002867334182064251 0.055379746835443035
1 66 36 127	0.0012518778167250877 0.007911392405063292
1 66 37 102	0.001069788865280894 0.015822784810126583
1 66 39 104	0.0006521653206150117 0.02531645569620253
1 66 39 105	0.00015619305461550477 0.00949367088607595
1 66 39 122	0.004484304932735426 0.0031645569620253164
1 66 40 77	0.00027974375472067587 0.004746835443037975
1 66 40 104	0.0006328625453422861 0.01740506329113924
1 66 40 105	0.0002849837012746189 0.02689873417721519
1 66 41 106	0.0004566578021328606 0.011075949367088608
1 66 43 81	0.0005397682171773298 0.02531645569620253
1 66 44	0.19278252611585944 0.27689873417721517
1 66 44 44	0.05914343983684568 0.08386075949367089
1 66 44 109	0.018518518518518517 0.055379746835443035
1 66 45 110	0.00034619956877789007 0.04272151898734177
1 66 46 111	0.00013696386205623598 0.23259493670886075
1 66 51 87	0.0009868015295423707 0.0015822784810126582
1 66 51 116	0.0012252511251433168 0.08544303797468354
1 66 62 127	0.001813647698934482 0.00949367088607595
1 66 73	0.006880733944954129 0.0015822784810126582
1 66 85	7.275372862859222e-05 0.0015822784810126582
1 66 109	0.004709576138147566 0.007911392405063292
1 66 109 44	0.06338582677165354 0.1550632911392405
1 66 115	0.005952380952380952 0.0015822784810126582
6 71	0.002119193841363204 0.06487341772151899
6 71 1 66	0.0009468625447066673 0.06487341772151899
6 71 2 45	0.16666666666666666 0.0015822784810126582
6 71 6 71	0.0012144091253607845 0.13449367088607594
6 71 6 102	0.0019513137557959814 0.006329113924050633
