5	1.0 1.0
5 70 5	0.6417322834645669 1.0
13 78 5	0.47368421052631576 0.8260869565217391
13 78 64 5	0.1 0.043478260869565216
64 129 5	0.6944444444444444 0.43478260869565216
64 129 64 5	0.2 0.043478260869565216
101 8 36 5	1.0 0.34782608695652173
101 23 36 5	1.0 0.34782608695652173
101 36 5	1.0 0.34782608695652173
101 44 36 5	1.0 0.34782608695652173
101 73 36 5	1.0 0.34782608695652173
101 88 36 5	1.0 0.34782608695652173
101 109 36 5	1.0 0.34782608695652173
127 62 5	1.0 0.34782608695652173
129 13 78 5	0.058823529411764705 0.043478260869565216
129 64 5	1.0 0.08695652173913043
129 64 129 5	0.10526315789473684 0.043478260869565216
