0	0.5 0.0008828722778104767
0 1 66 85	0.034482758620689655 0.00014714537963507945
0 16 81	0.02032520325203252 0.0010300176574455562
0 16 108	0.04421768707482993 0.0017657445556209534
0 20 15 100	0.0025 0.0002942907592701589
0 20 83 85	0.0009477727340749239 0.0027957622130665096
0 20 85	0.04995374653098982 0.007945850500294291
0 20 95 110	0.42716857610474634 0.019276044732195408
0 35 80 85	0.00694031330557208 0.00529723366686286
0 35 100	0.007801418439716312 0.025456150676868745
0 35 100 23	0.010113780025284451 0.0005885815185403178
0 35 100 39	0.00010057326762546515 0.00014714537963507945
0 35 100 40	0.0012916383412644459 0.00014714537963507945
0 37 94 0	0.6666666666666666 0.0002942907592701589
0 37 94 110	1.0 0.001324308416715715
0 37 102	0.25 0.00044143613890523835
0 37 121 110	1.0 0.001324308416715715
0 39 15 100	0.02857142857142857 0.00014714537963507945
0 39 30 85	0.030162412993039442 0.0007357268981753973
0 39 52 85	0.03225806451612903 0.00014714537963507945
0 39 93 0	0.6153846153846154 0.0007357268981753973
0 39 93 110	1.0 0.028840494408475574
0 39 99 85	0.03225806451612903 0.00014714537963507945
0 39 104	0.10043041606886657 0.00529723366686286
0 39 117 110	1.0 0.02751618599175986
0 40 15 100	0.02857142857142857 0.00014714537963507945
0 40 30 85	0.008695652173913044 0.00044143613890523835
0 40 52 85	0.03225806451612903 0.00014714537963507945
0 40 93 110	1.0 0.00014714537963507945
0 40 99 85	0.03225806451612903 0.00014714537963507945
0 40 105	0.017094017094017096 0.0002942907592701589
0 40 117 110	1.0 0.00014714537963507945
0 43 81	0.014314928425357873 0.0010300176574455562
0 43 108	0.0473186119873817 0.0020600353148911123
0 43 108 40	0.017699115044247787 0.00014714537963507945
0 43 110	0.5 0.00014714537963507945
0 45 0	0.75 0.0008828722778104767
0 45 28 104	0.055423594615993665 0.005150088287227781
0 45 29 102	0.3333333333333333 0.0002942907592701589
0 45 30 85	0.04058192955589587 0.007798705120659211
0 45 56 102	0.3333333333333333 0.0002942907592701589
0 45 110	0.2080536912751678 0.047675103001765744
0 46 110	1.0 0.00014714537963507945
0 46 111	0.004902840059790733 0.03384343731606827
0 46 111 39	8.540803689627193e-05 0.00014714537963507945
0 46 111 40	0.0003098000068844446 0.00014714537963507945
0 51 116	0.002583979328165375 0.00014714537963507945
0 65 0	0.5833333333333334 0.0008828722778104767
