5 70 13	0.8490566037735849 0.21212121212121213
5 70 129 13	0.3333333333333333 0.030303030303030304
13	1.0 1.0
13 78 13	0.8806228373702422 1.0
13 102 37	0.8688524590163934 1.0
64 5 70 13	0.25 0.09090909090909091
64 101 36 13	0.5 0.06060606060606061
64 101 62 13	0.5 0.06060606060606061
64 129 13	0.7305605786618445 0.7272727272727273
64 129 64 13	0.011111111111111112 0.030303030303030304
101 8 36 13	1.0 0.12121212121212122
101 8 62 13	1.0 0.030303030303030304
101 12 105 37	0.007194244604316547 0.030303030303030304
101 20 85 37	0.0024246622791825423 0.06060606060606061
101 23 36 13	1.0 0.06060606060606061
101 35 100 37	0.0005868544600938967 0.06060606060606061
101 36 13	0.9897959183673469 0.42424242424242425
101 36 129 13	1.0 0.06060606060606061
101 39 105 37	0.005420054200542005 0.030303030303030304
101 40 105 37	0.0014792899408284023 0.030303030303030304
101 44 36 13	0.5 0.06060606060606061
101 45 110 37	0.00026096033402922753 0.030303030303030304
101 46 111 37	0.00016998451252219242 0.12121212121212122
101 62 13	0.9242424242424242 0.15151515151515152
101 73 36 13	1.0 0.12121212121212122
101 73 62 13	1.0 0.030303030303030304
101 88 36 13	1.0 0.06060606060606061
101 109 36 13	0.6666666666666666 0.06060606060606061
127 8 36 13	0.5 0.030303030303030304
127 12 105 37	0.019230769230769232 0.030303030303030304
127 20 85 37	0.001963350785340314 0.06060606060606061
127 23 62 13	1.0 0.06060606060606061
127 35 100 37	0.00186219739292365 0.030303030303030304
127 36 13	0.8714285714285714 0.09090909090909091
127 36 129 13	0.75 0.06060606060606061
127 39 105 37	0.008333333333333333 0.030303030303030304
127 40 105 37	0.014084507042253521 0.030303030303030304
127 45 110 37	0.0006775067750677507 0.030303030303030304
127 46 111 37	0.00032317771836530833 0.030303030303030304
127 62 13	1.0 0.3939393939393939
127 73 36 13	0.5 0.030303030303030304
127 88 62 13	1.0 0.06060606060606061
129 64 13	1.0 0.030303030303030304
129 64 129 13	0.009615384615384616 0.030303030303030304
